wavelength,absorbance,bonds
599.860365,0.031812,
601.789176,0.033852,
603.717988,0.035646,
605.646799,0.036438,
607.575611,0.036945,
609.504422,0.037129,
611.433234,0.035757,
613.362045,0.033794,
615.290857,0.031464,
617.219668,0.028172,
619.148479,0.024825,
621.077291,0.021401,
623.006102,0.017597,
624.934914,0.014716,
626.863725,0.011639,
628.792537,0.007242,
630.721348,0.004906,
632.65016,0.005054,
634.578971,0.004162,
636.507783,0.002297,
638.436594,0.001178,
640.365406,0.000359,C-H
642.294217,-0.000974,C-H
644.223028,-0.00141,C-H
646.15184,-0.000566,C-H
648.080651,-0.000158,C-H
650.009463,0.00003,C-H
651.938274,0.001121,C-H
653.867086,0.003576,C-H
655.795897,0.007131,C-H
657.724709,0.01047,C-H
659.65352,0.012743,C-H
661.582332,0.014499,C-H
663.511143,0.017344,C-H
665.439955,0.020989,C-H
667.368766,0.023844,C-H
669.297577,0.026781,C-H
671.226389,0.029617,C-H
673.1552,0.03034,C-H
675.084012,0.029368,C-H
677.012823,0.027424,C-H
678.941635,0.024855,C-H
680.870446,0.023146,C-H
682.799258,0.022424,C-H
684.728069,0.021844,C-H
686.656881,0.021587,C-H
688.585692,0.021464,C-H
690.514504,0.021128,C-H
692.443315,0.021114,C-H
694.372126,0.021308,C-H
696.300938,0.021342,C-H
698.229749,0.021575,C-H
700.158561,0.021729,C-H
702.087372,0.021467,C-H
704.016184,0.021096,C-H
705.944995,0.020701,C-H
707.873807,0.020297,C-H
709.802618,0.019895,C-H
711.73143,0.019518,"C-H, O-H"
713.660241,0.019101,"C-H, O-H"
715.589053,0.01846,"C-H, O-H"
717.517864,0.017956,"C-H, O-H"
719.446675,0.017646,"C-H, O-H"
721.375487,0.017014,"C-H, O-H"
723.304298,0.016213,"C-H, O-H"
725.23311,0.015738,"C-H, O-H"
727.161921,0.015417,"C-H, O-H"
729.090733,0.014898,"C-H, O-H"
731.019544,0.014232,"C-H, O-H"
732.948356,0.013483,"C-H, O-H"
734.877167,0.012793,"C-H, O-H"
736.805979,0.012207,"C-H, O-H"
738.73479,0.011527,"C-H, O-H"
740.663602,0.010809,"C-H, O-H"
742.592413,0.010216,"C-H, O-H"
744.521224,0.009917,"C-H, O-H"
746.450036,0.009553,"C-H, O-H"
748.378847,0.008875,"C-H, O-H"
750.307659,0.008527,"C-H, O-H"
752.23647,0.008572,C-H
754.165282,0.008516,C-H
756.094093,0.008215,C-H
758.022905,0.007833,C-H
759.951716,0.007574,C-H
761.880528,0.00733,C-H
763.809339,0.00704,C-H
765.738151,0.006859,C-H
767.666962,0.00674,C-H
769.595773,0.006515,C-H
771.524585,0.006291,C-H
773.453396,0.006138,C-H
775.382208,0.005891,C-H
777.311019,0.005652,C-H
779.239831,0.005586,C-H
781.168642,0.005461,C-H
783.097454,0.005145,C-H
785.026265,0.004873,C-H
786.955077,0.004718,C-H
788.883888,0.004534,C-H
790.8127,0.00424,C-H
792.741511,0.003949,C-H
794.670323,0.003866,C-H
796.599134,0.003784,C-H
798.527945,0.00354,C-H
800.456757,0.003464,C-H
802.385568,0.003497,C-H
804.31438,0.003367,C-H
806.243191,0.003292,C-H
808.172003,0.003225,C-H
810.100814,0.002897,C-H
812.029626,0.002608,C-H
813.958437,0.002566,C-H
815.887249,0.002572,C-H
817.81606,0.002516,C-H
819.744872,0.002475,C-H
821.673683,0.002545,C-H
823.602494,0.002532,C-H
825.531306,0.002419,C-H
827.460117,0.002446,C-H
829.388929,0.002449,C-H
831.31774,0.002393,C-H
833.246552,0.002479,C-H
835.175363,0.002491,C-H
837.104175,0.002263,C-H
839.032986,0.002084,C-H
840.961798,0.00201,C-H
842.890609,0.001833,C-H
844.819421,0.001603,C-H
846.748232,0.001381,C-H
848.677043,0.00122,C-H
850.605855,0.001182,C-H
852.534666,0.001037,C-H
854.463478,0.000764,C-H
856.392289,0.000688,C-H
858.321101,0.000633,C-H
860.249912,0.000462,C-H
862.178724,0.000376,C-H
864.107535,0.000435,C-H
866.036347,0.000508,C-H
867.965158,0.000611,C-H
869.89397,0.000724,C-H
871.822781,0.000869,C-H
873.751592,0.001148,C-H
875.680404,0.001596,C-H
877.609215,0.002241,C-H
879.538027,0.003097,C-H
881.466838,0.004124,C-H
883.39565,0.005344,C-H
885.324461,0.006804,C-H
887.253273,0.008479,C-H
889.182084,0.010377,C-H
891.110896,0.0124,C-H
893.039707,0.014198,C-H
894.968519,0.01524,C-H
896.89733,0.015019,C-H
898.826141,0.013733,C-H
900.754953,0.012091,C-H
902.683764,0.010437,C-H
904.612576,0.008875,C-H
906.541387,0.007483,C-H
908.470199,0.00622,C-H
910.39901,0.005135,C-H
912.327822,0.004307,C-H
914.256633,0.003685,C-H
916.185445,0.003246,C-H
918.114256,0.003038,C-H
920.043068,0.003035,C-H
921.971879,0.003138,C-H
923.90069,0.003275,C-H
925.829502,0.003441,C-H
927.758313,0.00365,C-H
929.687125,0.0039,C-H
931.615936,0.004174,C-H
933.544748,0.004357,C-H
935.473559,0.004465,C-H
937.402371,0.004652,C-H
939.331182,0.004845,C-H
941.259994,0.004996,C-H
943.188805,0.005202,C-H
945.117617,0.005436,C-H
947.046428,0.0057,C-H
948.97524,0.005975,C-H
950.904051,0.006189,C-H
952.832862,0.006422,C-H
954.761674,0.006767,C-H
956.690485,0.007253,C-H
958.619297,0.007961,C-H
960.548108,0.008849,C-H
962.47692,0.009688,C-H
964.405731,0.010341,C-H
966.334543,0.010807,C-H
968.263354,0.011035,C-H
970.192166,0.011076,C-O
972.120977,0.011124,C-O
974.049789,0.01134,C-O
975.9786,0.011908,C-O
977.907411,0.01305,C-O
979.836223,0.014943,C-O
981.765034,0.01778,C-O
983.693846,0.021781,C-O
985.622657,0.027061,C-O
987.551469,0.033604,C-O
989.48028,0.0412,C-O
991.409092,0.049457,C-O
993.337903,0.057713,C-O
995.266715,0.06489,C-O
997.195526,0.069798,C-O
999.124338,0.07154,C-O
1001.053149,0.070568,C-O
1002.98196,0.069135,C-O
1004.910772,0.069079,C-O
1006.839583,0.070597,C-O
1008.768395,0.073521,C-O
1010.697206,0.077956,C-O
