wavelength,absorbance,bonds
599.860365,0.001913,
601.789176,0.002112,
603.717988,0.001786,
605.646799,0.001308,
607.575611,0.001556,
609.504422,0.002264,
611.433234,0.002697,
613.362045,0.002773,
615.290857,0.002541,
617.219668,0.002457,
619.148479,0.002913,
621.077291,0.003198,
623.006102,0.003199,
624.934914,0.003162,
626.863725,0.002965,
628.792537,0.002943,
630.721348,0.003058,
632.65016,0.00299,
634.578971,0.002729,
636.507783,0.002401,
638.436594,0.001969,
640.365406,0.002081,
642.294217,0.00316,
644.223028,0.00329,
646.15184,0.002082,
648.080651,0.001759,
650.009463,0.001824,
651.938274,0.00096,
653.867086,0.000947,
655.795897,0.001819,
657.724709,0.001959,
659.65352,0.002066,
661.582332,0.002314,
663.511143,0.002034,
665.439955,0.001333,
667.368766,0.000997,
669.297577,0.001432,
671.226389,0.00151,
673.1552,0.000819,
675.084012,0.00023,
677.012823,0.000102,
678.941635,0.000231,
680.870446,0.000151,
682.799258,-0.000173,
684.728069,-0.000215,
686.656881,-0.000052,
688.585692,-0.000098,
690.514504,-0.000175,
692.443315,0.000024,
694.372126,0.000368,
696.300938,0.000461,
698.229749,0.0005,
700.158561,0.000791,C-H
702.087372,0.001185,C-H
704.016184,0.001627,C-H
705.944995,0.00225,C-H
707.873807,0.00326,C-H
709.802618,0.004357,C-H
711.73143,0.006182,C-H
713.660241,0.009374,C-H
715.589053,0.015587,C-H
717.517864,0.028632,C-H
719.446675,0.038274,C-H
721.375487,0.03132,C-H
723.304298,0.020336,C-H
725.23311,0.016549,C-H
727.161921,0.018648,C-H
729.090733,0.024785,C-H
731.019544,0.023829,C-H
732.948356,0.013491,C-H
734.877167,0.006375,C-H
736.805979,0.004336,C-H
738.73479,0.003168,C-H
740.663602,0.002484,C-H
742.592413,0.002075,C-H
744.521224,0.001984,C-H
746.450036,0.002106,C-H
748.378847,0.001979,C-H
750.307659,0.001748,C-H
752.23647,0.001664,C-H
754.165282,0.001484,C-H
756.094093,0.001236,C-H
758.022905,0.001243,C-H
759.951716,0.00132,C-H
761.880528,0.001114,C-H
763.809339,0.000776,C-H
765.738151,0.000694,C-H
767.666962,0.000704,C-H
769.595773,0.000688,C-H
771.524585,0.000859,C-H
773.453396,0.000949,C-H
775.382208,0.000768,C-H
777.311019,0.000639,C-H
779.239831,0.000676,C-H
781.168642,0.000711,C-H
783.097454,0.000716,
785.026265,0.00068,
786.955077,0.000595,
788.883888,0.000576,
790.8127,0.000611,
792.741511,0.000695,
794.670323,0.00081,
796.599134,0.000792,
798.527945,0.000776,
800.456757,0.000788,
802.385568,0.000725,
804.31438,0.000788,
806.243191,0.000844,
808.172003,0.000713,
810.100814,0.000662,
812.029626,0.000754,
813.958437,0.000771,
815.887249,0.000743,
817.81606,0.000825,
819.744872,0.000795,
821.673683,0.000586,
823.602494,0.000527,
825.531306,0.0006,
827.460117,0.000664,
829.388929,0.000735,
831.31774,0.000771,
833.246552,0.000877,
835.175363,0.00105,
837.104175,0.001137,
839.032986,0.001216,
840.961798,0.001168,
842.890609,0.000907,
844.819421,0.000717,
846.748232,0.000649,
848.677043,0.000592,
850.605855,0.000512,
852.534666,0.00042,
854.463478,0.000361,
856.392289,0.000373,
858.321101,0.000453,
860.249912,0.000484,
862.178724,0.000442,
