wavelength,absorbance,bonds
599.860365,0.015413,
601.789176,0.016935,
603.717988,0.017346,
605.646799,0.01623,
607.575611,0.015793,
609.504422,0.016199,
611.433234,0.016087,
613.362045,0.015441,
615.290857,0.014368,
617.219668,0.013267,
619.148479,0.012057,
621.077291,0.010359,
623.006102,0.008598,
624.934914,0.007198,
626.863725,0.005892,
628.792537,0.00402,
630.721348,0.00229,
632.65016,0.001251,
634.578971,0.000038,
636.507783,-0.00038,
638.436594,0.00039,
640.365406,0.000251,C-H
642.294217,-0.000505,C-H
644.223028,-0.000621,C-H
646.15184,-0.000536,C-H
648.080651,-0.000365,C-H
650.009463,0.00006,C-H
651.938274,0.000824,C-H
653.867086,0.001725,C-H
655.795897,0.00294,C-H
657.724709,0.004895,C-H
659.65352,0.006949,C-H
661.582332,0.008903,C-H
663.511143,0.011054,C-H
665.439955,0.01346,C-H
667.368766,0.015886,C-H
669.297577,0.017935,C-H
671.226389,0.020221,C-H
673.1552,0.022972,C-H
675.084012,0.025517,C-H
677.012823,0.027965,C-H
678.941635,0.030786,C-H
680.870446,0.033772,C-H
682.799258,0.036359,C-H
684.728069,0.038714,C-H
686.656881,0.040968,C-H
688.585692,0.042731,C-H
690.514504,0.043838,C-H
692.443315,0.044337,C-H
694.372126,0.044327,C-H
696.300938,0.043811,C-H
698.229749,0.042927,C-H
700.158561,0.041967,C-H
702.087372,0.040977,C-H
704.016184,0.040089,C-H
705.944995,0.039381,C-H
707.873807,0.038627,C-H
709.802618,0.037874,C-H
711.73143,0.03719,C-H
713.660241,0.036482,C-H
715.589053,0.035842,C-H
717.517864,0.035222,C-H
719.446675,0.034535,C-H
721.375487,0.034113,C-H
723.304298,0.034208,C-H
725.23311,0.03494,C-H
727.161921,0.036316,C-H
729.090733,0.037008,C-H
731.019544,0.035501,C-H
732.948356,0.032258,C-H
734.877167,0.028601,C-H
736.805979,0.025418,C-H
738.73479,0.022893,C-H
740.663602,0.020958,C-H
742.592413,0.019738,C-H
744.521224,0.018666,C-H
746.450036,0.017404,C-H
748.378847,0.01661,C-H
750.307659,0.015979,C-H
752.23647,0.014943,C-H
754.165282,0.01407,C-H
756.094093,0.013429,C-H
758.022905,0.01281,C-H
759.951716,0.012482,C-H
761.880528,0.012231,"C-H, N-H"
763.809339,0.011729,"C-H, N-H"
765.738151,0.011182,"C-H, N-H"
767.666962,0.010928,"C-H, N-H"
769.595773,0.010909,"C-H, N-H"
771.524585,0.010907,"C-H, N-H"
773.453396,0.010945,"C-H, N-H"
775.382208,0.010934,"C-H, N-H"
777.311019,0.010738,"C-H, N-H"
779.239831,0.010354,"C-H, N-H"
781.168642,0.009877,"C-H, N-H"
783.097454,0.009519,"C-H, N-H"
785.026265,0.009252,"C-H, N-H"
786.955077,0.008886,"C-H, N-H"
788.883888,0.008382,"C-H, N-H"
790.8127,0.007884,"C-H, N-H"
792.741511,0.007457,"C-H, N-H"
794.670323,0.007026,"C-H, N-H"
796.599134,0.006582,"C-H, N-H"
798.527945,0.006133,"C-H, N-H"
800.456757,0.005788,"C-H, N-H"
802.385568,0.005517,"C-H, N-H"
804.31438,0.005144,"C-H, N-H"
806.243191,0.004761,"C-H, N-H"
808.172003,0.004448,"C-H, N-H"
810.100814,0.004204,"C-H, N-H"
812.029626,0.003969,"C-H, N-H"
813.958437,0.003633,"C-H, N-H"
815.887249,0.003326,"C-H, N-H"
817.81606,0.00317,"C-H, N-H"
819.744872,0.003084,"C-H, N-H"
821.673683,0.003032,"C-H, N-H"
823.602494,0.002995,"C-H, N-H"
825.531306,0.002942,"C-H, N-H"
827.460117,0.003017,"C-H, N-H"
829.388929,0.003312,"C-H, N-H"
831.31774,0.003499,"C-H, N-H"
833.246552,0.003342,"C-H, N-H"
835.175363,0.002926,"C-H, N-H"
837.104175,0.002297,"C-H, N-H"
839.032986,0.001601,"C-H, N-H"
840.961798,0.001154,"C-H, N-H"
842.890609,0.000983,"C-H, N-H"
844.819421,0.000806,"C-H, N-H"
846.748232,0.000567,"C-H, N-H"
848.677043,0.000413,"C-H, N-H"
850.605855,0.000303,"C-H, N-H"
852.534666,0.000159,
854.463478,0.000127,
856.392289,0.000287,
858.321101,0.000458,
860.249912,0.000452,
862.178724,0.000336,
864.107535,0.000314,
866.036347,0.000382,
867.965158,0.000487,
869.89397,0.000542,
871.822781,0.000516,
873.751592,0.000563,
875.680404,0.000615,
877.609215,0.000551,
879.538027,0.000491,
881.466838,0.000514,
883.39565,0.000608,
885.324461,0.000663,
887.253273,0.000621,
889.182084,0.000558,
891.110896,0.000519,
893.039707,0.000558,
894.968519,0.000599,
896.89733,0.000559,
898.826141,0.000513,
900.754953,0.000467,
902.683764,0.00044,
904.612576,0.000477,
906.541387,0.000529,
908.470199,0.000551,
910.39901,0.000551,
912.327822,0.000617,
914.256633,0.000734,
916.185445,0.000768,
918.114256,0.000781,
920.043068,0.000892,C-N
921.971879,0.00108,C-N
923.90069,0.001391,C-N
925.829502,0.001853,C-N
927.758313,0.002261,C-N
929.687125,0.002384,C-N
931.615936,0.002157,C-N
933.544748,0.001684,C-N
935.473559,0.001183,C-N
937.402371,0.000808,C-N
939.331182,0.000621,C-N
941.259994,0.000613,C-N
943.188805,0.000777,C-N
945.117617,0.00112,C-N
947.046428,0.001537,C-N
948.97524,0.001906,C-N
950.904051,0.0022,C-N
952.832862,0.002464,C-N
954.761674,0.002831,C-N
956.690485,0.003375,C-N
958.619297,0.003893,C-N
960.548108,0.004052,C-N
962.47692,0.003847,C-N
964.405731,0.00358,C-N
966.334543,0.003467,C-N
968.263354,0.003574,C-N
970.192166,0.003858,C-N
972.120977,0.004106,C-N
974.049789,0.00414,C-N
975.9786,0.003979,C-N
977.907411,0.003673,C-N
979.836223,0.00328,C-N
981.765034,0.002925,C-N
983.693846,0.002636,C-N
985.622657,0.002328,C-N
987.551469,0.001954,C-N
989.48028,0.001551,C-N
991.409092,0.001175,C-N
993.337903,0.000879,C-N
995.266715,0.000699,C-N
997.195526,0.000611,C-N
999.124338,0.000563,C-N
1001.053149,0.000518,C-N
1002.98196,0.000457,C-N
1004.910772,0.000388,C-N
1006.839583,0.000313,C-N
1008.768395,0.000238,C-N
1010.697206,0.000201,C-N
1012.626018,0.000192,C-N
1014.554829,0.000171,C-N
1016.483641,0.000174,C-N
1018.412452,0.000223,C-N
1020.341264,0.000321,C-N
1022.270075,0.00051,C-N
1024.198887,0.000786,C-N
1026.127698,0.001075,C-N
1028.056509,0.001273,C-N
1029.985321,0.001212,C-N
1031.914132,0.000839,C-N
1033.842944,0.000387,C-N
1035.771755,0.000046,C-N
1037.700567,-0.000231,C-N
1039.629378,-0.000478,C-N
1041.55819,-0.000662,C-N
1043.487001,-0.000773,C-N
1045.415813,-0.000818,C-N
1047.344624,-0.000816,C-N
1049.273436,-0.000776,C-N
1051.202247,-0.000679,C-N
1053.131058,-0.000494,C-N
1055.05987,-0.000282,C-N
1056.988681,-0.000104,C-N
1058.917493,0.000123,C-N
1060.846304,0.000451,C-N
1062.775116,0.000785,C-N
1064.703927,0.001044,C-N
1066.632739,0.001286,C-N
1068.56155,0.001564,C-N
1070.490362,0.001804,C-N
1072.419173,0.001938,C-N
1074.347985,0.001952,C-N
1076.276796,0.001847,C-N
1078.205607,0.001665,C-N
1080.134419,0.001441,C-N
1082.06323,0.001184,C-N
1083.992042,0.000921,C-N
1085.920853,0.000674,C-N
1087.849665,0.00044,C-N
1089.778476,0.000236,C-N
1091.707288,0.000092,C-N
1093.636099,0.000018,C-N
1095.564911,-0.000008,C-N
1097.493722,0.000023,C-N
1099.422534,0.000152,C-N
1101.351345,0.000399,C-N
1103.280156,0.000798,C-N
1105.208968,0.001354,C-N
1107.137779,0.001927,C-N
1109.066591,0.002389,C-N
1110.995402,0.002816,C-N
1112.924214,0.003295,C-N
1114.853025,0.003778,C-N
1116.781837,0.004211,C-N
1118.710648,0.004528,C-N
1120.63946,0.004652,C-N
1122.568271,0.004471,C-N
1124.497083,0.003798,C-N
1126.425894,0.002664,C-N
1128.354706,0.001675,C-N
1130.283517,0.000797,C-N
1132.212328,0.000163,"C-H, C-N"
1134.14114,-0.000093,"C-H, C-N"
1136.069951,-0.000101,"C-H, C-N"
1137.998763,0.00006,"C-H, C-N"
1139.927574,0.000311,"C-H, C-N"
1141.856386,0.000643,"C-H, C-N"
1143.785197,0.001114,"C-H, C-N"
1145.714009,0.001651,"C-H, C-N"
1147.64282,0.002221,"C-H, C-N"
1149.571632,0.002856,"C-H, C-N"
1151.500443,0.003237,"C-H, C-N"
1153.429255,0.003757,"C-H, C-N"
1155.358066,0.004436,"C-H, C-N"
1157.286877,0.005285,"C-H, C-N"
1159.215689,0.006476,"C-H, C-N"
1161.1445,0.008146,"C-H, C-N"
1163.073312,0.010364,"C-H, C-N"
1165.002123,0.01314,"C-H, C-N"
1166.930935,0.01613,"C-H, C-N"
1168.859746,0.01846,"C-H, C-N"
1170.788558,0.019198,"C-H, C-N"
1172.717369,0.018125,"C-H, C-N"
1174.646181,0.015765,"C-H, C-N"
1176.574992,0.0129,"C-H, C-N"
1178.503804,0.010232,"C-H, C-N"
1180.432615,0.008187,"C-H, C-N"
1182.361426,0.006896,"C-H, C-N"
1184.290238,0.006294,"C-H, C-N"
1186.219049,0.006229,"C-H, C-N"
1188.147861,0.006609,"C-H, C-N"
1190.076672,0.007387,"C-H, C-N"
1192.005484,0.008505,"C-H, C-N"
1193.934295,0.010018,"C-H, C-N"
1195.863107,0.01202,"C-H, C-N"
1197.791918,0.014518,"C-H, C-N"
1199.72073,0.017106,"C-H, C-N"
1201.649541,0.018597,"C-H, C-N"
1203.578353,0.018092,"C-H, C-N"
1205.507164,0.016328,"C-H, C-N"
1207.435975,0.014737,"C-H, C-N"
1209.364787,0.013872,"C-H, C-N"
1211.293598,0.013441,"C-H, C-N"
1213.22241,0.012983,"C-H, C-N"
1215.151221,0.012109,"C-H, C-N"
1217.080033,0.010617,"C-H, C-N"
1219.008844,0.008712,"C-H, C-N"
1220.937656,0.007,C-H
1222.866467,0.006053,C-H
1224.795279,0.006051,C-H
1226.72409,0.006862,C-H
1228.652902,0.008276,C-H
1230.581713,0.010126,C-H
1232.510524,0.012191,C-H
1234.439336,0.014031,C-H
1236.368147,0.015199,C-H
1238.296959,0.015598,C-H
1240.22577,0.015453,C-H
1242.154582,0.015052,C-H
1244.083393,0.014663,C-H
1246.012205,0.014503,C-H
1247.941016,0.014681,C-H
1249.869828,0.015231,C-H
1251.798639,0.016253,C-H
1253.727451,0.017784,C-H
1255.656262,0.019687,C-H
1257.585073,0.021786,C-H
1259.513885,0.023818,C-H
1261.442696,0.025383,C-H
1263.371508,0.02597,C-H
1265.300319,0.025168,C-H
1267.229131,0.023144,C-H
1269.157942,0.02063,C-H
1271.086754,0.018423,C-H
1273.015565,0.016976,C-H
1274.944377,0.016238,C-H
1276.873188,0.01588,C-H
1278.802,0.015525,C-H
1280.730811,0.014885,C-H
1282.659622,0.013959,C-H
1284.588434,0.012896,C-H
1286.517245,0.011858,C-H
1288.446057,0.011099,C-H
1290.374868,0.010732,C-H
1292.30368,0.010519,C-H
1294.232491,0.010233,C-H
1296.161303,0.009947,C-H
1298.090114,0.009771,C-H
1300.018926,0.00962,C-H
1301.947737,0.009351,C-H
1303.876549,0.008986,C-H
1305.80536,0.008667,C-H
1307.734172,0.008363,C-H
1309.662983,0.007944,C-H
1311.591794,0.00744,Amide III
1313.520606,0.006922,Amide III
1315.449417,0.006398,Amide III
1317.378229,0.0059,Amide III
1319.30704,0.005463,Amide III
1321.235852,0.005049,Amide III
1323.164663,0.004659,Amide III
1325.093475,0.004378,Amide III
1327.022286,0.004276,Amide III
1328.951098,0.004365,Amide III
1330.879909,0.004553,Amide III
1332.808721,0.004737,Amide III
1334.737532,0.004824,Amide III
1336.666343,0.004767,Amide III
1338.595155,0.004695,Amide III
1340.523966,0.004712,Amide III
1342.452778,0.004825,Amide III
1344.381589,0.005033,Amide III
1346.310401,0.005284,Amide III
1348.239212,0.005582,Amide III
1350.168024,0.005964,Amide III
1352.096835,0.006433,Amide III
1354.025647,0.006978,Amide III
1355.954458,0.007569,Amide III
1357.88327,0.008185,Amide III
1359.812081,0.008822,Amide III
1361.740892,0.0095,Amide III
1363.669704,0.010199,Amide III
1365.598515,0.010896,Amide III
1367.527327,0.011645,Amide III
1369.456138,0.01239,Amide III
1371.38495,0.012959,Amide III
1373.313761,0.013162,Amide III
1375.242573,0.012801,Amide III
1377.171384,0.011866,Amide III
1379.100196,0.010528,Amide III
1381.029007,0.008941,Amide III
1382.957819,0.007268,Amide III
