wavelength,absorbance,bonds
599.860365,0.008903,
601.789176,0.008063,
603.717988,0.008087,
605.646799,0.007957,
607.575611,0.007203,
609.504422,0.006169,
611.433234,0.005423,
613.362045,0.00502,
615.290857,0.004538,
617.219668,0.004267,
619.148479,0.003895,
621.077291,0.003703,
623.006102,0.003768,
624.934914,0.003088,
626.863725,0.002969,
628.792537,0.003047,
630.721348,0.002028,
632.65016,0.00096,
634.578971,0.000152,
636.507783,-0.000271,
638.436594,0.000154,
640.365406,0.000492,
642.294217,0.00002,
644.223028,-0.00039,
646.15184,-0.000484,
648.080651,-0.00097,
650.009463,-0.001281,
651.938274,-0.000801,
653.867086,0.000154,
655.795897,0.000621,
657.724709,-0.000009,
659.65352,-0.000695,
661.582332,-0.000297,aromatic C-H
663.511143,0.000265,aromatic C-H
665.439955,0.000008,aromatic C-H
667.368766,0.000037,aromatic C-H
669.297577,0.000366,aromatic C-H
671.226389,0.000341,aromatic C-H
673.1552,0.001055,aromatic C-H
675.084012,0.001846,aromatic C-H
677.012823,0.001641,aromatic C-H
678.941635,0.001614,aromatic C-H
680.870446,0.002015,aromatic C-H
682.799258,0.002308,aromatic C-H
684.728069,0.00271,aromatic C-H
686.656881,0.002989,aromatic C-H
688.585692,0.003049,aromatic C-H
690.514504,0.0032,aromatic C-H
692.443315,0.003169,aromatic C-H
694.372126,0.003026,aromatic C-H
696.300938,0.003285,aromatic C-H
698.229749,0.003979,aromatic C-H
700.158561,0.005106,aromatic C-H
702.087372,0.006344,aromatic C-H
704.016184,0.007266,aromatic C-H
705.944995,0.007942,aromatic C-H
707.873807,0.008182,aromatic C-H
709.802618,0.007857,aromatic C-H
711.73143,0.007204,aromatic C-H
713.660241,0.006343,aromatic C-H
715.589053,0.005312,aromatic C-H
717.517864,0.004185,aromatic C-H
719.446675,0.003441,aromatic C-H
721.375487,0.003359,aromatic C-H
723.304298,0.003587,aromatic C-H
725.23311,0.003837,aromatic C-H
727.161921,0.003929,aromatic C-H
729.090733,0.004086,aromatic C-H
731.019544,0.004403,aromatic C-H
732.948356,0.00419,aromatic C-H
734.877167,0.003442,aromatic C-H
736.805979,0.002816,aromatic C-H
738.73479,0.002462,aromatic C-H
740.663602,0.002486,aromatic C-H
742.592413,0.00276,aromatic C-H
744.521224,0.00311,aromatic C-H
746.450036,0.003805,aromatic C-H
748.378847,0.004581,aromatic C-H
750.307659,0.00547,aromatic C-H
752.23647,0.006933,aromatic C-H
754.165282,0.008481,aromatic C-H
756.094093,0.009867,aromatic C-H
758.022905,0.011321,aromatic C-H
759.951716,0.012882,aromatic C-H
761.880528,0.014469,aromatic C-H
763.809339,0.015909,aromatic C-H
765.738151,0.017559,aromatic C-H
767.666962,0.019153,aromatic C-H
