wavelength,absorbance,bonds
599.860365,-0.000413,C-H
601.789176,-0.000176,C-H
603.717988,0.00009,C-H
605.646799,0.000155,C-H
607.575611,0.000128,C-H
609.504422,0.000122,C-H
611.433234,0.000206,C-H
613.362045,0.000311,C-H
615.290857,0.000227,C-H
617.219668,0.00013,C-H
619.148479,0.000151,C-H
621.077291,0.000176,C-H
623.006102,0.000303,C-H
624.934914,0.000707,C-H
626.863725,0.001335,C-H
628.792537,0.001935,C-H
630.721348,0.00242,C-H
632.65016,0.002927,C-H
634.578971,0.003149,C-H
636.507783,0.002846,C-H
638.436594,0.002465,C-H
640.365406,0.001905,C-H
642.294217,0.001008,C-H
644.223028,0.000418,C-H
646.15184,0.000491,C-H
648.080651,0.000555,C-H
650.009463,-0.000146,C-H
651.938274,-0.000218,C-H
653.867086,0.000654,C-H
655.795897,0.000421,C-H
657.724709,-0.000049,C-H
659.65352,0.000304,C-H
661.582332,0.000511,C-H
663.511143,0.000687,C-H
665.439955,0.000767,C-H
667.368766,0.000597,C-H
669.297577,0.000547,C-H
671.226389,0.000548,C-H
673.1552,0.000626,C-H
675.084012,0.000661,C-H
677.012823,0.000535,C-H
678.941635,0.000491,C-H
680.870446,0.000517,C-H
682.799258,0.000554,C-H
684.728069,0.000547,C-H
686.656881,0.000344,C-H
688.585692,0.000157,C-H
690.514504,0.000212,C-H
692.443315,0.00033,C-H
694.372126,0.000349,C-H
696.300938,0.000366,C-H
698.229749,0.000408,C-H
700.158561,0.000401,C-H
702.087372,0.000393,C-H
704.016184,0.000444,C-H
705.944995,0.000493,C-H
707.873807,0.000458,C-H
709.802618,0.000463,C-H
711.73143,0.000582,C-H
713.660241,0.000651,C-H
715.589053,0.000653,C-H
717.517864,0.00057,C-H
719.446675,0.000394,C-H
721.375487,0.000404,C-H
723.304298,0.000362,C-H
725.23311,0.000104,C-H
727.161921,-0.000061,C-H
729.090733,-0.000098,C-H
731.019544,-0.000108,C-H
732.948356,-0.000026,C-H
734.877167,0.000089,C-H
736.805979,0.000292,C-H
738.73479,0.000636,C-H
740.663602,0.000871,C-H
742.592413,0.000825,C-H
744.521224,0.000587,C-H
746.450036,0.000459,C-H
748.378847,0.000531,C-H
750.307659,0.000601,C-H
752.23647,0.000608,C-H
754.165282,0.000556,C-H
756.094093,0.000544,C-H
758.022905,0.000604,C-H
759.951716,0.000612,C-H
761.880528,0.000586,C-H
763.809339,0.000534,C-H
765.738151,0.000467,C-H
767.666962,0.00046,C-H
769.595773,0.000445,C-H
771.524585,0.000381,C-H
773.453396,0.000346,C-H
775.382208,0.000324,C-H
777.311019,0.000265,C-H
779.239831,0.000233,C-H
781.168642,0.000193,C-H
783.097454,0.00009,C-H
785.026265,0.000047,C-H
786.955077,0.000051,C-H
788.883888,-0.000005,C-H
790.8127,-0.000063,C-H
792.741511,-0.000095,C-H
794.670323,-0.000086,C-H
796.599134,-0.000045,C-H
798.527945,-0.000009,C-H
800.456757,0.000017,C-H
802.385568,-0.000019,C-H
804.31438,-0.000083,C-H
806.243191,-0.00004,C-H
808.172003,0.000054,C-H
810.100814,0.000069,C-H
812.029626,0.000024,C-H
813.958437,0.000029,C-H
815.887249,0.000097,C-H
817.81606,0.000126,C-H
819.744872,0.00017,C-H
821.673683,0.000271,C-H
823.602494,0.000343,C-H
825.531306,0.000425,C-H
827.460117,0.000548,C-H
829.388929,0.00074,C-H
831.31774,0.001051,C-H
833.246552,0.001386,C-H
835.175363,0.001592,C-H
837.104175,0.001524,C-H
839.032986,0.001228,C-H
840.961798,0.000947,C-H
842.890609,0.000766,C-H
844.819421,0.000681,C-H
846.748232,0.000703,C-H
848.677043,0.000794,C-H
850.605855,0.000986,C-H
852.534666,0.001277,C-H
854.463478,0.001616,C-H
856.392289,0.00206,C-H
858.321101,0.002636,C-H
860.249912,0.003254,C-H
862.178724,0.003722,C-H
864.107535,0.003718,C-H
866.036347,0.003134,C-H
867.965158,0.002338,C-H
869.89397,0.001735,C-H
871.822781,0.001339,C-H
873.751592,0.001028,C-H
875.680404,0.000797,C-H
877.609215,0.000609,C-H
879.538027,0.000425,C-H
881.466838,0.000285,C-H
883.39565,0.000195,C-H
885.324461,0.000134,C-H
887.253273,0.000108,C-H
889.182084,0.000096,C-H
891.110896,0.000052,C-H
893.039707,0.00001,C-H
894.968519,-0.000016,C-H
896.89733,-0.000051,C-H
898.826141,-0.000089,C-H
900.754953,-0.000115,C-H
902.683764,-0.000143,C-H
904.612576,-0.000152,C-H
906.541387,-0.000147,C-H
908.470199,-0.000143,C-H
910.39901,-0.000143,C-H
912.327822,-0.000151,C-H
914.256633,-0.000134,C-H
916.185445,-0.000098,C-H
918.114256,-0.000073,C-H
920.043068,-0.000027,C-H
921.971879,0.000038,C-H
923.90069,0.00007,C-H
925.829502,0.000129,C-H
927.758313,0.000258,C-H
929.687125,0.00037,C-H
931.615936,0.000518,C-H
933.544748,0.000782,C-H
935.473559,0.001061,C-H
937.402371,0.001367,C-H
939.331182,0.00182,C-H
941.259994,0.002377,C-H
943.188805,0.003013,C-H
945.117617,0.003784,C-H
947.046428,0.004467,C-H
948.97524,0.004688,C-H
950.904051,0.004329,C-H
952.832862,0.003547,C-H
954.761674,0.00264,C-H
956.690485,0.001852,C-H
958.619297,0.001324,C-H
960.548108,0.001151,C-H
962.47692,0.00128,C-H
964.405731,0.001547,C-H
966.334543,0.001733,C-H
968.263354,0.001663,C-H
970.192166,0.001358,C-H
972.120977,0.000963,C-H
974.049789,0.000634,C-H
975.9786,0.000444,C-H
977.907411,0.000358,C-O
979.836223,0.000373,C-O
981.765034,0.000505,C-O
