wavelength,absorbance,bonds
599.860365,0.018294,
601.789176,0.017563,
603.717988,0.014904,
605.646799,0.011694,
607.575611,0.009046,
609.504422,0.007695,
611.433234,0.006932,
613.362045,0.006264,
615.290857,0.006351,
617.219668,0.006091,
619.148479,0.005348,
621.077291,0.005619,"Si-C, C-H"
623.006102,0.005873,"Si-C, C-H"
624.934914,0.005099,"Si-C, C-H"
626.863725,0.004282,"Si-C, C-H"
628.792537,0.004662,"Si-C, C-H"
630.721348,0.004908,"Si-C, C-H"
632.65016,0.003423,"Si-C, C-H"
634.578971,0.002173,"Si-C, C-H"
636.507783,0.001443,"Si-C, C-H"
638.436594,0.001053,"Si-C, C-H"
640.365406,0.001456,"Si-C, C-H"
642.294217,0.00109,"Si-C, C-H"
644.223028,-0.000457,"Si-C, C-H"
646.15184,-0.002314,"Si-C, C-H"
648.080651,-0.003308,"Si-C, C-H"
650.009463,-0.002725,"Si-C, C-H"
651.938274,-0.00219,"Si-C, C-H"
653.867086,-0.001633,"Si-C, C-H"
655.795897,-0.000162,"Si-C, C-H"
657.724709,0.003235,"Si-C, C-H"
659.65352,0.007575,"Si-C, C-H"
661.582332,0.009658,"Si-C, C-H"
663.511143,0.009755,"Si-C, C-H"
665.439955,0.010277,"Si-C, C-H"
667.368766,0.010891,"Si-C, C-H"
669.297577,0.011339,"Si-C, C-H"
671.226389,0.012227,"Si-C, C-H"
673.1552,0.013417,"Si-C, C-H"
675.084012,0.01521,"Si-C, C-H"
677.012823,0.017794,"Si-C, C-H"
678.941635,0.020884,"Si-C, C-H"
680.870446,0.02478,"Si-C, C-H"
682.799258,0.029255,"Si-C, C-H"
684.728069,0.033492,"Si-C, C-H"
686.656881,0.036965,"Si-C, C-H"
688.585692,0.039104,"Si-C, C-H"
690.514504,0.039526,"Si-C, C-H"
692.443315,0.039049,"Si-C, C-H"
694.372126,0.038683,"Si-C, C-H"
696.300938,0.03864,"Si-C, C-H"
698.229749,0.038915,"Si-C, C-H"
700.158561,0.039251,"Si-C, C-H"
702.087372,0.03909,"Si-C, C-H"
704.016184,0.038015,"Si-C, C-H"
705.944995,0.035301,"Si-C, C-H"
707.873807,0.030363,"Si-C, C-H"
709.802618,0.023705,"Si-C, C-H"
711.73143,0.016652,"Si-C, C-H"
713.660241,0.010864,"Si-C, C-H"
715.589053,0.006883,"Si-C, C-H"
717.517864,0.004175,"Si-C, C-H"
719.446675,0.002545,"Si-C, C-H"
721.375487,0.001716,"Si-C, C-H"
723.304298,0.001436,"Si-C, C-H"
725.23311,0.00144,"Si-C, C-H"
727.161921,0.001608,"Si-C, C-H"
729.090733,0.001905,"Si-C, C-H"
731.019544,0.002267,"Si-C, C-H"
732.948356,0.002718,"Si-C, C-H"
734.877167,0.003369,"Si-C, C-H"
736.805979,0.004131,"Si-C, C-H"
738.73479,0.005165,"Si-C, C-H"
740.663602,0.00687,"Si-C, C-H"
742.592413,0.009905,"Si-C, C-H"
744.521224,0.013638,"Si-C, C-H"
