wavelength,absorbance,bonds
599.860365,0.003929,
601.789176,0.005169,
603.717988,0.005625,
605.646799,0.005923,
607.575611,0.005648,
609.504422,0.004918,
611.433234,0.004627,
613.362045,0.004924,
615.290857,0.004576,
617.219668,0.003035,
619.148479,0.002317,
621.077291,0.003829,
623.006102,0.005505,
624.934914,0.005676,
626.863725,0.004916,
628.792537,0.00372,
630.721348,0.002749,
632.65016,0.001898,
634.578971,0.000565,
636.507783,0.000139,
638.436594,0.000834,
640.365406,0.001537,
642.294217,0.002036,
644.223028,0.001657,
646.15184,0.001123,
648.080651,0.000619,
650.009463,-0.00013,
651.938274,0.00028,
653.867086,0.000685,
655.795897,-0.000127,
657.724709,-0.000769,
659.65352,-0.001295,
661.582332,-0.001451,
663.511143,-0.00075,
665.439955,0.000221,
667.368766,0.001045,
669.297577,0.002238,
671.226389,0.004199,
673.1552,0.007227,
675.084012,0.011372,
677.012823,0.016314,
678.941635,0.020988,
680.870446,0.024427,
682.799258,0.026468,
684.728069,0.026265,
686.656881,0.023686,
688.585692,0.020117,
690.514504,0.01616,
692.443315,0.012145,
694.372126,0.008516,
696.300938,0.005349,
698.229749,0.003014,
700.158561,0.00155,
702.087372,0.000604,
704.016184,0.000207,
705.944995,0.000281,
707.873807,0.000667,
709.802618,0.001387,
711.73143,0.002187,
713.660241,0.002994,
715.589053,0.003761,
717.517864,0.004121,
719.446675,0.004308,
721.375487,0.004594,
723.304298,0.004701,
725.23311,0.004388,
727.161921,0.003697,
729.090733,0.003213,
731.019544,0.00325,
732.948356,0.003258,
734.877167,0.003058,
736.805979,0.003116,
738.73479,0.003438,
740.663602,0.004009,
742.592413,0.005094,
744.521224,0.006175,
746.450036,0.007018,
748.378847,0.007974,
750.307659,0.008974,
752.23647,0.010164,
754.165282,0.011699,
756.094093,0.013592,
758.022905,0.016444,
759.951716,0.021195,
761.880528,0.028967,
763.809339,0.041167,
765.738151,0.054947,
767.666962,0.061176,
769.595773,0.056287,
771.524585,0.047357,
773.453396,0.040277,
775.382208,0.035219,
777.311019,0.030745,
779.239831,0.025761,
781.168642,0.020031,
783.097454,0.014186,
785.026265,0.00928,
786.955077,0.006277,
788.883888,0.005172,
790.8127,0.004991,
792.741511,0.00503,
794.670323,0.005133,
796.599134,0.005243,
798.527945,0.00548,
800.456757,0.005693,
802.385568,0.005686,
804.31438,0.00568,
806.243191,0.005778,
