wavelength,absorbance,bonds
599.860365,0.014133,"aromatic C-H, C-S"
601.789176,0.016672,"aromatic C-H, C-S"
603.717988,0.018158,"aromatic C-H, C-S"
605.646799,0.018175,"aromatic C-H, C-S"
607.575611,0.017188,"aromatic C-H, C-S"
609.504422,0.016114,"aromatic C-H, C-S"
611.433234,0.015341,"aromatic C-H, C-S"
613.362045,0.01446,"aromatic C-H, C-S"
615.290857,0.013366,"aromatic C-H, C-S"
617.219668,0.012144,"aromatic C-H, C-S"
619.148479,0.011645,"aromatic C-H, C-S"
621.077291,0.012534,"aromatic C-H, C-S"
623.006102,0.013351,"aromatic C-H, C-S"
624.934914,0.013032,"aromatic C-H, C-S"
626.863725,0.01182,"aromatic C-H, C-S"
628.792537,0.009671,"aromatic C-H, C-S"
630.721348,0.007101,"aromatic C-H, C-S"
632.65016,0.005077,"aromatic C-H, C-S"
634.578971,0.003984,"aromatic C-H, C-S"
636.507783,0.003618,"aromatic C-H, C-S"
638.436594,0.003375,"aromatic C-H, C-S"
640.365406,0.002571,"aromatic C-H, C-S"
642.294217,0.001487,"aromatic C-H, C-S"
644.223028,0.000947,"aromatic C-H, C-S"
646.15184,0.001142,"aromatic C-H, C-S"
648.080651,0.00123,"aromatic C-H, C-S"
650.009463,0.000777,"aromatic C-H, C-S"
651.938274,0.000738,"aromatic C-H, C-S"
653.867086,0.000524,"aromatic C-H, C-S"
655.795897,-0.000517,"aromatic C-H, C-S"
657.724709,-0.000863,"aromatic C-H, C-S"
659.65352,-0.001075,"aromatic C-H, C-S"
661.582332,-0.001755,"aromatic C-H, C-S"
663.511143,-0.001853,"aromatic C-H, C-S"
665.439955,-0.001039,"aromatic C-H, C-S"
667.368766,0.000848,"aromatic C-H, C-S"
669.297577,0.003095,"aromatic C-H, C-S"
671.226389,0.005404,"aromatic C-H, C-S"
673.1552,0.008857,"aromatic C-H, C-S"
675.084012,0.013602,"aromatic C-H, C-S"
677.012823,0.019276,"aromatic C-H, C-S"
678.941635,0.025019,"aromatic C-H, C-S"
680.870446,0.029248,"aromatic C-H, C-S"
682.799258,0.031332,"aromatic C-H, C-S"
684.728069,0.031166,"aromatic C-H, C-S"
686.656881,0.028515,"aromatic C-H, C-S"
688.585692,0.02461,"aromatic C-H, C-S"
690.514504,0.020585,"aromatic C-H, C-S"
692.443315,0.016026,"aromatic C-H, C-S"
694.372126,0.011423,"aromatic C-H, C-S"
696.300938,0.007772,"aromatic C-H, C-S"
698.229749,0.004887,"aromatic C-H, C-S"
700.158561,0.002646,"aromatic C-H, C-S"
702.087372,0.001417,"aromatic C-H, C-S"
704.016184,0.001066,aromatic C-H
705.944995,0.001147,aromatic C-H
707.873807,0.001556,aromatic C-H
709.802618,0.002287,aromatic C-H
711.73143,0.003174,aromatic C-H
713.660241,0.004082,aromatic C-H
715.589053,0.004801,aromatic C-H
717.517864,0.005395,aromatic C-H
719.446675,0.005976,aromatic C-H
721.375487,0.00614,aromatic C-H
723.304298,0.005821,aromatic C-H
725.23311,0.005341,aromatic C-H
727.161921,0.004748,aromatic C-H
729.090733,0.004119,aromatic C-H
731.019544,0.003763,aromatic C-H
732.948356,0.003611,aromatic C-H
734.877167,0.003411,aromatic C-H
736.805979,0.003562,aromatic C-H
738.73479,0.003997,aromatic C-H
740.663602,0.004457,aromatic C-H
742.592413,0.005513,aromatic C-H
744.521224,0.006867,aromatic C-H
746.450036,0.008009,aromatic C-H
748.378847,0.009307,aromatic C-H
750.307659,0.010777,aromatic C-H
752.23647,0.012269,aromatic C-H
754.165282,0.013802,aromatic C-H
756.094093,0.015825,aromatic C-H
758.022905,0.019394,aromatic C-H
759.951716,0.025179,aromatic C-H
761.880528,0.034523,aromatic C-H
763.809339,0.049459,aromatic C-H
765.738151,0.065824,aromatic C-H
767.666962,0.072745,aromatic C-H
769.595773,0.066744,aromatic C-H
771.524585,0.056012,aromatic C-H
773.453396,0.047529,aromatic C-H
775.382208,0.04158,aromatic C-H
