wavelength,absorbance,bonds,,,,,,,
599.860365,0.005485,,,,,,,,
601.789176,0.005001,,,,,,,,
603.717988,0.004791,,,,,,,,
605.646799,0.004769,,,,,,,,
607.575611,0.004645,,,,,,,,
609.504422,0.004791,,,,,,,,
611.433234,0.004999,,,,,,,,
613.362045,0.005158,,,,,,,,
615.290857,0.005319,,,,,,,,
617.219668,0.005053,,,,,,,,
619.148479,0.005219,,,,,,,,
621.077291,0.005777,,,,,,,,
623.006102,0.005559,,,,,,,,
624.934914,0.005571,,,,,,,,
626.863725,0.005444,,,,,,,,
628.792537,0.004662,,,,,,,,
630.721348,0.005684,,,,,,,,
632.65016,0.007429,,,,,,,,
634.578971,0.007305,,,,,,,,
636.507783,0.006233,,,,,,,,
638.436594,0.005044,,,,,,,,
640.365406,0.004217,,,,,,,,
642.294217,0.004093,,,,,,,,
644.223028,0.004352,,,,,,,,
646.15184,0.004936,,,,,,,,
648.080651,0.005512,,,,,,,,
650.009463,0.005719,,,,,,,,
651.938274,0.005879,,,,,,,,
653.867086,0.006366,,,,,,,,
655.795897,0.006453,,,,,,,,
657.724709,0.006147,,,,,,,,
659.65352,0.006033,,,,,,,,
661.582332,0.005578,,,,,,,,
663.511143,0.005116,,,,,,,,
665.439955,0.005047,,,,,,,,
667.368766,0.004528,,,,,,,,
669.297577,0.003803,,,,,,,,
671.226389,0.003787,,,,,,,,
673.1552,0.004024,,,,,,,,
675.084012,0.004114,,,,,,,,
677.012823,0.004313,,,,,,,,
678.941635,0.004162,,,,,,,,
680.870446,0.003724,aromatic C-H,,,,,,,
682.799258,0.003583,aromatic C-H,,,,,,,
684.728069,0.003353,aromatic C-H,,,,,,,
686.656881,0.002991,aromatic C-H,,,,,,,
688.585692,0.00309,aromatic C-H,,,,,,,
690.514504,0.003149,aromatic C-H,,,,,,,
692.443315,0.002826,aromatic C-H,,,,,,,
694.372126,0.002889,aromatic C-H,,,,,,,
696.300938,0.003329,aromatic C-H,,,,,,,
698.229749,0.003924,aromatic C-H,,,,,,,
700.158561,0.004926,aromatic C-H,,,,,,,
702.087372,0.005994,aromatic C-H,,,,,,,
704.016184,0.006783,aromatic C-H,,,,,,,
705.944995,0.007307,aromatic C-H,,,,,,,
707.873807,0.007842,aromatic C-H,,,,,,,
709.802618,0.008302,aromatic C-H,,,,,,,
711.73143,0.008526,aromatic C-H,,,,,,,
713.660241,0.009275,aromatic C-H,,,,,,,
715.589053,0.011754,aromatic C-H,,,,,,,
717.517864,0.018072,aromatic C-H,,,,,,,
719.446675,0.03136,aromatic C-H,,,,,,,
721.375487,0.060055,aromatic C-H,,,,,,,
723.304298,0.109277,aromatic C-H,,,,,,,
725.23311,0.152186,aromatic C-H,,,,,,,
727.161921,0.153543,aromatic C-H,,,,,,,
729.090733,0.127218,aromatic C-H,,,,,,,
731.019544,0.099689,aromatic C-H,,,,,,,
732.948356,0.076425,aromatic C-H,,,,,,,
734.877167,0.056561,aromatic C-H,,,,,,,
736.805979,0.039269,aromatic C-H,,,,,,,
738.73479,0.025067,aromatic C-H,,,,,,,
740.663602,0.014938,aromatic C-H,,,,,,,
742.592413,0.008965,aromatic C-H,,,,,,,
744.521224,0.006083,aromatic C-H,,,,,,,
746.450036,0.0046,aromatic C-H,,,,,,,
748.378847,0.003754,aromatic C-H,,,,,,,
750.307659,0.003407,aromatic C-H,,,,,,,
752.23647,0.003523,aromatic C-H,,,,,,,
754.165282,0.003571,aromatic C-H,,,,,,,
756.094093,0.003285,aromatic C-H,,,,,,,
758.022905,0.002983,aromatic C-H,,,,,,,
759.951716,0.002631,aromatic C-H,,,,,,,
761.880528,0.002292,aromatic C-H,,,,,,,
763.809339,0.002147,aromatic C-H,,,,,,,
765.738151,0.002174,aromatic C-H,,,,,,,
767.666962,0.002163,aromatic C-H,,,,,,,
769.595773,0.002132,aromatic C-H,,,,,,,
771.524585,0.002296,aromatic C-H,,,,,,,
773.453396,0.002471,aromatic C-H,,,,,,,
775.382208,0.002558,aromatic C-H,,,,,,,
777.311019,0.00266,aromatic C-H,,,,,,,
779.239831,0.002863,aromatic C-H,,,,,,,
781.168642,0.00321,aromatic C-H,,,,,,,
783.097454,0.003611,aromatic C-H,,,,,,,
785.026265,0.004272,aromatic C-H,,,,,,,
786.955077,0.005345,aromatic C-H,,,,,,,
788.883888,0.006696,aromatic C-H,,,,,,,
790.8127,0.00831,aromatic C-H,,,,,,,
792.741511,0.009536,aromatic C-H,,,,,,,
794.670323,0.009363,aromatic C-H,,,,,,,
796.599134,0.007905,aromatic C-H,,,,,,,
798.527945,0.006302,aromatic C-H,,,,,,,
800.456757,0.005592,aromatic C-H,,,,,,,
802.385568,0.005769,aromatic C-H,,,,,,,
804.31438,0.006012,aromatic C-H,,,,,,,
806.243191,0.005966,aromatic C-H,,,,,,,
808.172003,0.005914,aromatic C-H,,,,,,,
810.100814,0.005904,aromatic C-H,,,,,,,
812.029626,0.005881,aromatic C-H,,,,,,,
813.958437,0.005866,aromatic C-H,,,,,,,
815.887249,0.005684,aromatic C-H,,,,,,,
817.81606,0.005491,aromatic C-H,,,,,,,
819.744872,0.005454,aromatic C-H,,,,,,,
821.673683,0.005335,aromatic C-H,,,,,,,
823.602494,0.005196,aromatic C-H,,,,,,,
825.531306,0.005271,aromatic C-H,,,,,,,
827.460117,0.005521,aromatic C-H,,,,,,,
829.388929,0.005764,aromatic C-H,,,,,,,
831.31774,0.005991,aromatic C-H,,,,,,,
833.246552,0.006272,aromatic C-H,,,,,,,
835.175363,0.006535,aromatic C-H,,,,,,,
837.104175,0.006969,aromatic C-H,,,,,,,
839.032986,0.00757,aromatic C-H,,,,,,,
840.961798,0.007979,aromatic C-H,,,,,,,
842.890609,0.008205,aromatic C-H,,,,,,,
844.819421,0.008131,aromatic C-H,,,,,,,
846.748232,0.007714,aromatic C-H,,,,,,,
848.677043,0.007457,aromatic C-H,,,,,,,
850.605855,0.007484,aromatic C-H,,,,,,,
852.534666,0.00743,aromatic C-H,,,,,,,
854.463478,0.007199,aromatic C-H,,,,,,,
856.392289,0.007018,aromatic C-H,,,,,,,
858.321101,0.007028,aromatic C-H,,,,,,,
860.249912,0.007276,aromatic C-H,,,,,,,
862.178724,0.007932,aromatic C-H,,,,,,,
864.107535,0.009274,aromatic C-H,,,,,,,
866.036347,0.011604,aromatic C-H,,,,,,,
867.965158,0.015039,aromatic C-H,,,,,,,
869.89397,0.019256,aromatic C-H,,,,,,,
871.822781,0.0231,aromatic C-H,,,,,,,
873.751592,0.024919,aromatic C-H,,,,,,,
875.680404,0.024173,aromatic C-H,,,,,,,
877.609215,0.021791,aromatic C-H,,,,,,,
879.538027,0.018914,aromatic C-H,,,,,,,
881.466838,0.016306,aromatic C-H,,,,,,,
883.39565,0.014314,aromatic C-H,,,,,,,
885.324461,0.012918,aromatic C-H,,,,,,,
887.253273,0.012,aromatic C-H,,,,,,,
889.182084,0.011426,aromatic C-H,,,,,,,
891.110896,0.011153,aromatic C-H,,,,,,,
893.039707,0.011164,aromatic C-H,,,,,,,
894.968519,0.01125,aromatic C-H,,,,,,,
896.89733,0.011196,aromatic C-H,,,,,,,
898.826141,0.010926,aromatic C-H,,,,,,,
900.754953,0.01036,aromatic C-H,,,,,,,
902.683764,0.00941,aromatic C-H,,,,,,,
904.612576,0.00811,aromatic C-H,,,,,,,
906.541387,0.006631,aromatic C-H,,,,,,,
908.470199,0.005241,aromatic C-H,,,,,,,
910.39901,0.004127,aromatic C-H,,,,,,,
912.327822,0.003259,aromatic C-H,,,,,,,
914.256633,0.002601,aromatic C-H,,,,,,,
916.185445,0.002171,aromatic C-H,,,,,,,
918.114256,0.001886,aromatic C-H,,,,,,,
920.043068,0.001684,aromatic C-H,,,,,,,
921.971879,0.001568,aromatic C-H,,,,,,,
923.90069,0.001534,aromatic C-H,,,,,,,
925.829502,0.001535,aromatic C-H,,,,,,,
927.758313,0.001511,aromatic C-H,,,,,,,
929.687125,0.001502,aromatic C-H,,,,,,,
931.615936,0.001506,,,,,,,,
933.544748,0.001437,,,,,,,,
935.473559,0.00134,,,,,,,,
937.402371,0.001295,,,,,,,,
939.331182,0.001261,,,,,,,,
941.259994,0.001195,C-H,,,,,,,
943.188805,0.001133,C-H,,,,,,,
945.117617,0.001121,C-H,,,,,,,
947.046428,0.001113,C-H,,,,,,,
948.97524,0.001105,C-H,,,,,,,
950.904051,0.00117,C-H,,,,,,,
952.832862,0.001243,C-H,,,,,,,
954.761674,0.00129,C-H,,,,,,,
956.690485,0.001393,C-H,,,,,,,
958.619297,0.00155,C-H,,,,,,,
960.548108,0.001756,C-H,,,,,,,
962.47692,0.002035,C-H,,,,,,,
964.405731,0.00239,C-H,,,,,,,
966.334543,0.002791,C-H,,,,,,,
968.263354,0.00316,C-H,,,,,,,
970.192166,0.003456,C-H,,,,,,,
972.120977,0.003662,C-H,,,,,,,
974.049789,0.003715,C-H,,,,,,,
975.9786,0.003611,C-H,,,,,,,
977.907411,0.003445,C-H,,,,,,,
979.836223,0.003256,C-H,,,,,,,
981.765034,0.003036,C-H,,,,,,,
983.693846,0.00279,C-H,,,,,,,
985.622657,0.002542,C-H,,,,,,,
987.551469,0.002348,C-H,,,,,,,
989.48028,0.002209,C-H,,,,,,,
991.409092,0.002105,C-H,,,,,,,
993.337903,0.002039,C-H,,,,,,,
995.266715,0.001891,C-H,,,,,,,
997.195526,0.001787,C-H,,,,,,,
999.124338,0.001761,C-H,,,,,,,
1001.053149,0.001825,C-O,,,,,,,
1002.98196,0.002024,C-O,,,,,,,
1004.910772,0.002495,C-O,,,,,,,
1006.839583,0.003601,C-O,,,,,,,
1008.768395,0.005821,C-O,,,,,,,
1010.697206,0.009825,C-O,,,,,,,
1012.626018,0.018112,C-O,,,,,,,
