wavelength,absorbance,bonds
599.860365,0.000452,
601.789176,0.001168,
603.717988,0.002551,
605.646799,0.003566,
607.575611,0.002866,
609.504422,0.001739,
611.433234,0.00163,
613.362045,0.001143,
615.290857,0.000088,C-H
617.219668,-0.000036,C-H
619.148479,0.000409,C-H
621.077291,0.000733,C-H
623.006102,0.001696,C-H
624.934914,0.002594,C-H
626.863725,0.002036,C-H
628.792537,0.002206,C-H
630.721348,0.003995,C-H
632.65016,0.004749,C-H
634.578971,0.003926,C-H
636.507783,0.003111,C-H
638.436594,0.00388,C-H
640.365406,0.005262,C-H
642.294217,0.005145,C-H
644.223028,0.004787,C-H
646.15184,0.005027,C-H
648.080651,0.005179,C-H
650.009463,0.005054,C-H
651.938274,0.004283,C-H
653.867086,0.003789,C-H
655.795897,0.003709,C-H
657.724709,0.003256,C-H
659.65352,0.003166,C-H
661.582332,0.003146,C-H
663.511143,0.002563,C-H
665.439955,0.002155,C-H
667.368766,0.002061,C-H
669.297577,0.002218,C-H
671.226389,0.002839,C-H
673.1552,0.003083,C-H
675.084012,0.00217,C-H
677.012823,0.000978,C-H
678.941635,0.000546,C-H
680.870446,0.000457,C-H
682.799258,0.000199,C-H
684.728069,-0.000025,C-H
686.656881,-0.000117,C-H
688.585692,0.000037,C-H
690.514504,0.00019,C-H
692.443315,0.00006,C-H
694.372126,0.000209,C-H
696.300938,0.000523,C-H
698.229749,0.000403,C-H
700.158561,0.000069,C-H
702.087372,-0.000044,C-H
704.016184,0.000076,C-H
705.944995,0.000048,C-H
707.873807,-0.000051,C-H
709.802618,0.000128,C-H
711.73143,0.000357,C-H
713.660241,0.000395,C-H
715.589053,0.000265,C-H
717.517864,0.000247,C-H
719.446675,0.000305,C-H
721.375487,0.000092,C-H
723.304298,-0.000028,C-H
725.23311,0.000253,C-H
727.161921,0.000714,C-H
729.090733,0.001341,C-H
731.019544,0.002202,C-H
732.948356,0.003632,C-H
734.877167,0.007074,C-H
736.805979,0.011859,C-H
738.73479,0.013309,C-H
740.663602,0.010159,C-H
742.592413,0.006035,C-H
744.521224,0.003039,C-H
746.450036,0.00152,C-H
748.378847,0.001085,C-H
750.307659,0.001266,C-H
752.23647,0.001619,C-H
754.165282,0.001298,C-H
756.094093,0.00083,C-H
758.022905,0.000857,C-H
759.951716,0.00107,C-H
761.880528,0.001563,C-H
763.809339,0.002101,C-H
765.738151,0.002034,C-H
767.666962,0.001422,C-H
769.595773,0.000737,C-H
771.524585,0.000342,C-H
773.453396,0.000355,C-H
775.382208,0.000491,C-H
777.311019,0.000481,C-H
779.239831,0.000377,C-H
781.168642,0.000156,C-H
783.097454,0.000015,C-H
785.026265,0.000025,C-H
786.955077,-0.000034,aromatic C-H
788.883888,0.000016,aromatic C-H
790.8127,0.00022,aromatic C-H
792.741511,0.000304,aromatic C-H
