wavelength,absorbance,bonds
599.860365,0.000386,C-H
601.789176,0.000632,C-H
603.717988,0.000827,C-H
605.646799,0.00037,C-H
607.575611,0.000049,C-H
609.504422,0.000439,C-H
611.433234,0.00077,C-H
613.362045,0.001307,C-H
615.290857,0.002334,C-H
617.219668,0.002585,C-H
619.148479,0.002142,C-H
621.077291,0.001858,C-H
623.006102,0.001563,C-H
624.934914,0.00232,C-H
626.863725,0.003786,C-H
628.792537,0.004418,C-H
630.721348,0.004192,C-H
632.65016,0.003408,C-H
634.578971,0.003694,C-H
636.507783,0.004632,C-H
638.436594,0.004602,C-H
640.365406,0.003906,C-H
642.294217,0.00269,C-H
644.223028,0.003029,C-H
646.15184,0.004147,C-H
648.080651,0.003426,C-H
650.009463,0.003417,C-H
651.938274,0.003896,C-H
653.867086,0.003311,C-H
655.795897,0.003631,C-H
657.724709,0.003986,C-H
659.65352,0.003266,C-H
661.582332,0.002797,C-H
663.511143,0.002779,C-H
665.439955,0.002457,C-H
667.368766,0.00187,C-H
669.297577,0.001502,C-H
671.226389,0.001201,C-H
673.1552,0.001002,C-H
675.084012,0.001001,C-H
677.012823,0.000929,C-H
678.941635,0.000785,C-H
680.870446,0.000407,C-H
682.799258,-0.000031,C-H
684.728069,-0.000102,C-H
686.656881,0.000019,C-H
688.585692,0.000057,C-H
690.514504,0.000103,C-H
692.443315,0.00024,C-H
694.372126,0.000289,C-H
696.300938,0.000234,C-H
698.229749,0.000198,C-H
700.158561,0.000061,C-H
702.087372,-0.000089,C-H
704.016184,-0.000072,C-H
705.944995,0.000117,C-H
707.873807,0.000259,C-H
709.802618,0.000292,C-H
711.73143,0.00031,C-H
713.660241,0.000362,C-H
715.589053,0.000286,C-H
717.517864,0.000094,C-H
719.446675,0.000028,C-H
721.375487,0.000184,C-H
723.304298,0.000385,C-H
725.23311,0.000338,C-H
727.161921,0.000285,C-H
729.090733,0.000463,C-H
731.019544,0.000521,C-H
732.948356,0.000563,C-H
734.877167,0.000623,C-H
736.805979,0.000512,C-H
738.73479,0.000578,C-H
740.663602,0.000751,C-H
742.592413,0.00082,C-H
744.521224,0.000792,C-H
746.450036,0.000565,C-H
748.378847,0.000565,C-H
750.307659,0.000912,C-H
752.23647,0.001004,C-H
754.165282,0.00086,C-H
756.094093,0.000786,C-H
758.022905,0.000757,C-H
759.951716,0.00081,C-H
761.880528,0.000666,C-H
763.809339,0.000261,C-H
765.738151,0.000116,C-H
767.666962,0.000115,C-H
769.595773,-0.00009,C-H
771.524585,-0.000174,C-H
773.453396,-0.00004,C-H
775.382208,0.000004,C-H
777.311019,-0.000078,C-H
779.239831,-0.000067,C-H
781.168642,0.000045,C-H
783.097454,0.00009,C-H
785.026265,0.000117,C-H
786.955077,0.000173,C-H
788.883888,0.000124,C-H
790.8127,0.000035,C-H
792.741511,0.000009,C-H
794.670323,0.000057,C-H
796.599134,0.000144,C-H
798.527945,0.000095,C-H
800.456757,0.000149,C-H
802.385568,0.000461,C-H
804.31438,0.000852,C-H
806.243191,0.001494,C-H
808.172003,0.002024,C-H
810.100814,0.001929,C-H
812.029626,0.001395,C-H
813.958437,0.000693,C-H
815.887249,0.000206,C-H
817.81606,-0.000011,C-H
819.744872,-0.000106,C-H
821.673683,0.000008,C-H
823.602494,0.000076,C-H
825.531306,-0.000038,C-H
827.460117,-0.000034,C-H
829.388929,0.000108,C-H
831.31774,0.00036,C-H
833.246552,0.000712,C-H
835.175363,0.001116,C-H
