wavelength,absorbance,bonds,,,absorbance,
599.860365,0.005055,,,,0.007555,0.005055
601.789176,0.004584,,,,0.007084,0.004584
603.717988,0.004348,,,,0.006848,0.004348
605.646799,0.003902,aromatic C-H,,,0.006402,0.003902
607.575611,0.004091,aromatic C-H,,,0.006591,0.004091
609.504422,0.004582,aromatic C-H,,,0.007082,0.004582
611.433234,0.004292,aromatic C-H,,,0.006792,0.004292
613.362045,0.003926,aromatic C-H,,,0.006426,0.003926
615.290857,0.004309,aromatic C-H,,,0.006809,0.004309
617.219668,0.004596,aromatic C-H,,,0.007096,0.004596
619.148479,0.004385,aromatic C-H,,,0.006885,0.004385
621.077291,0.004622,aromatic C-H,,,0.007122,0.004622
623.006102,0.005235,aromatic C-H,,,0.007735,0.005235
624.934914,0.005951,aromatic C-H,,,0.008451,0.005951
626.863725,0.006018,aromatic C-H,,,0.008518,0.006018
628.792537,0.004326,aromatic C-H,,,0.006826,0.004326
630.721348,0.003425,aromatic C-H,,,0.005925,0.003425
632.65016,0.004672,aromatic C-H,,,0.007172,0.004672
634.578971,0.005423,aromatic C-H,,,0.007923,0.005423
636.507783,0.005027,aromatic C-H,,,0.007527,0.005027
638.436594,0.004729,aromatic C-H,,,0.007229,0.004729
640.365406,0.004551,aromatic C-H,,,0.007051,0.004551
642.294217,0.004395,aromatic C-H,,,0.006895,0.004395
644.223028,0.004667,aromatic C-H,,,0.007167,0.004667
646.15184,0.005062,aromatic C-H,,,0.007562,0.005062
648.080651,0.005186,aromatic C-H,,,0.007686,0.005186
650.009463,0.004176,aromatic C-H,,,0.006676,0.004176
651.938274,0.003229,aromatic C-H,,,0.005729,0.003229
653.867086,0.004181,aromatic C-H,,,0.006681,0.004181
655.795897,0.00503,aromatic C-H,,,0.00753,0.00503
657.724709,0.004989,aromatic C-H,,,0.007489,0.004989
659.65352,0.004775,aromatic C-H,,,0.007275,0.004775
661.582332,0.004605,aromatic C-H,,,0.007105,0.004605
663.511143,0.005013,aromatic C-H,,,0.007513,0.005013
665.439955,0.005427,aromatic C-H,,,0.007927,0.005427
667.368766,0.005429,aromatic C-H,,,0.007929,0.005429
669.297577,0.00541,aromatic C-H,,,0.00791,0.00541
671.226389,0.004969,aromatic C-H,,,0.007469,0.004969
673.1552,0.004157,aromatic C-H,,,0.006657,0.004157
675.084012,0.003934,aromatic C-H,,,0.006434,0.003934
677.012823,0.003777,aromatic C-H,,,0.006277,0.003777
