wavelength,absorbance,bonds
599.860365,0.000747,"aromatic C-H, C-S"
601.789176,0.000927,"aromatic C-H, C-S"
603.717988,0.001109,"aromatic C-H, C-S"
605.646799,0.001313,"aromatic C-H, C-S"
607.575611,0.000855,"aromatic C-H, C-S"
609.504422,0.0000302,"aromatic C-H, C-S"
611.433234,0.0001141,"aromatic C-H, C-S"
613.362045,0.0001059,"aromatic C-H, C-S"
615.290857,0.000055,"aromatic C-H, C-S"
617.219668,0.0000178,"aromatic C-H, C-S"
619.148479,0.000507,"aromatic C-H, C-S"
621.077291,0.000631,"aromatic C-H, C-S"
623.006102,0.0000198,"aromatic C-H, C-S"
624.934914,0.000156,"aromatic C-H, C-S"
626.863725,0.000537,"aromatic C-H, C-S"
628.792537,0.0000634,"aromatic C-H, C-S"
630.721348,0.0001315,"aromatic C-H, C-S"
632.65016,0.0000952,"aromatic C-H, C-S"
634.578971,0.000046,"aromatic C-H, C-S"
636.507783,0.000746,"aromatic C-H, C-S"
638.436594,0.000725,"aromatic C-H, C-S"
640.365406,0.000706,"aromatic C-H, C-S"
642.294217,0.000729,"aromatic C-H, C-S"
644.223028,0.000509,"aromatic C-H, C-S"
646.15184,0.0001714,"aromatic C-H, C-S"
648.080651,0.0001075,"aromatic C-H, C-S"
650.009463,0.0000544,"aromatic C-H, C-S"
651.938274,0.000395,"aromatic C-H, C-S"
653.867086,0.002,"aromatic C-H, C-S"
655.795897,0.001146,"aromatic C-H, C-S"
657.724709,0.000143,"aromatic C-H, C-S"
659.65352,0.000031,"aromatic C-H, C-S"
661.582332,0.000202,"aromatic C-H, C-S"
663.511143,0.000517,"aromatic C-H, C-S"
665.439955,0.000698,"aromatic C-H, C-S"
667.368766,0.000536,"aromatic C-H, C-S"
669.297577,0.000458,"aromatic C-H, C-S"
671.226389,0.000275,"aromatic C-H, C-S"
673.1552,0.0003,"aromatic C-H, C-S"
675.084012,0.000748,"aromatic C-H, C-S"
677.012823,0.00118,"aromatic C-H, C-S"
678.941635,0.001491,"aromatic C-H, C-S"
680.870446,0.002054,"aromatic C-H, C-S"
682.799258,0.003417,"aromatic C-H, C-S"
684.728069,0.005182,"aromatic C-H, C-S"
686.656881,0.006551,"aromatic C-H, C-S"
688.585692,0.007934,"aromatic C-H, C-S"
690.514504,0.008689,"aromatic C-H, C-S"
692.443315,0.007958,"aromatic C-H, C-S"
694.372126,0.007121,"aromatic C-H, C-S"
696.300938,0.00658,"aromatic C-H, C-S"
698.229749,0.005567,"aromatic C-H, C-S"
700.158561,0.004374,"aromatic C-H, C-S"
702.087372,0.003213,"aromatic C-H, C-S"
704.016184,0.002115,aromatic C-H
705.944995,0.001388,aromatic C-H
707.873807,0.001315,aromatic C-H
709.802618,0.002031,aromatic C-H
711.73143,0.003248,aromatic C-H
713.660241,0.004406,aromatic C-H
715.589053,0.004822,aromatic C-H
717.517864,0.004401,aromatic C-H
719.446675,0.003708,aromatic C-H
721.375487,0.002995,aromatic C-H
723.304298,0.002411,aromatic C-H
725.23311,0.002011,aromatic C-H
727.161921,0.001786,aromatic C-H
729.090733,0.001995,aromatic C-H
731.019544,0.0024,aromatic C-H
732.948356,0.002559,aromatic C-H
734.877167,0.002738,aromatic C-H
736.805979,0.003211,aromatic C-H
738.73479,0.003509,aromatic C-H
740.663602,0.00312,aromatic C-H
742.592413,0.002476,aromatic C-H
744.521224,0.0022,aromatic C-H
746.450036,0.001996,aromatic C-H
748.378847,0.001573,aromatic C-H
750.307659,0.001148,aromatic C-H
752.23647,0.000885,aromatic C-H
754.165282,0.000896,aromatic C-H
756.094093,0.000921,aromatic C-H
758.022905,0.000823,aromatic C-H
759.951716,0.000898,aromatic C-H
761.880528,0.001001,aromatic C-H
763.809339,0.000944,aromatic C-H
765.738151,0.000767,aromatic C-H
767.666962,0.000674,aromatic C-H
769.595773,0.000845,aromatic C-H
771.524585,0.000718,aromatic C-H
773.453396,0.000149,aromatic C-H
775.382208,0.000089,aromatic C-H
777.311019,0.000138,aromatic C-H
779.239831,0.000417,aromatic C-H
781.168642,0.000436,aromatic C-H
783.097454,0.00032,aromatic C-H
785.026265,0.00038,aromatic C-H
786.955077,0.000594,aromatic C-H
788.883888,0.000941,aromatic C-H
790.8127,0.001305,aromatic C-H
792.741511,0.001539,aromatic C-H
794.670323,0.001633,aromatic C-H
796.599134,0.001484,aromatic C-H
798.527945,0.001377,aromatic C-H
800.456757,0.001455,aromatic C-H
802.385568,0.001434,aromatic C-H
804.31438,0.001489,aromatic C-H
806.243191,0.001684,aromatic C-H
808.172003,0.001823,aromatic C-H
810.100814,0.001925,aromatic C-H
812.029626,0.00198,aromatic C-H
813.958437,0.002111,aromatic C-H
815.887249,0.002414,aromatic C-H
817.81606,0.002743,aromatic C-H
819.744872,0.00308,aromatic C-H
821.673683,0.003555,aromatic C-H
823.602494,0.004308,aromatic C-H
825.531306,0.005364,aromatic C-H
827.460117,0.006721,aromatic C-H
829.388929,0.008446,aromatic C-H
831.31774,0.010089,aromatic C-H
833.246552,0.010838,aromatic C-H
835.175363,0.010451,aromatic C-H
837.104175,0.009339,aromatic C-H
839.032986,0.007955,aromatic C-H
840.961798,0.006541,aromatic C-H
842.890609,0.005398,aromatic C-H
844.819421,0.004721,aromatic C-H
846.748232,0.004697,aromatic C-H
848.677043,0.005409,aromatic C-H
850.605855,0.006273,aromatic C-H
852.534666,0.006798,aromatic C-H
854.463478,0.006879,aromatic C-H
856.392289,0.006469,aromatic C-H
858.321101,0.005744,aromatic C-H
860.249912,0.004915,aromatic C-H
862.178724,0.004188,aromatic C-H
864.107535,0.00384,aromatic C-H
866.036347,0.004095,aromatic C-H
867.965158,0.005058,aromatic C-H
869.89397,0.006531,aromatic C-H
871.822781,0.007893,aromatic C-H
873.751592,0.008469,aromatic C-H
875.680404,0.007965,aromatic C-H
877.609215,0.006487,aromatic C-H
879.538027,0.004561,aromatic C-H
881.466838,0.002849,aromatic C-H
883.39565,0.001611,aromatic C-H
885.324461,0.000838,aromatic C-H
887.253273,0.000476,aromatic C-H
889.182084,0.000305,aromatic C-H
891.110896,0.000143,aromatic C-H
893.039707,0.00005,aromatic C-H
894.968519,0.000029,aromatic C-H
896.89733,0.000003,aromatic C-H
898.826141,0.000008,aromatic C-H
900.754953,0.000009,aromatic C-H
902.683764,0.000025,aromatic C-H
904.612576,0.000023,aromatic C-H
906.541387,0.000057,C-H
908.470199,0.00009,C-H
910.39901,0.000084,C-H
912.327822,0.000042,C-H
914.256633,0.000028,C-H
916.185445,0.000046,C-H
918.114256,0.000029,C-H
920.043068,0.000035,C-H
921.971879,0.000047,C-H
923.90069,0.000015,C-H
925.829502,0.000043,C-H
927.758313,0.000046,C-H
929.687125,0.00007,C-H
931.615936,0.000135,C-H
933.544748,0.0000108,C-H
935.473559,0.000029,C-H
937.402371,0.000003,C-H
939.331182,0.000012,C-H
941.259994,0.000024,C-H
943.188805,0.00001,C-H
945.117617,0.000054,C-H
947.046428,0.000075,C-H
948.97524,0.00007,C-H
950.904051,0.000054,C-H
952.832862,0.000027,C-H
954.761674,0.000022,C-H
956.690485,0.000026,C-H
958.619297,0.000036,C-H
960.548108,0.000086,C-H
962.47692,0.00009,C-H
964.405731,0.000062,C-H
966.334543,0.000024,C-H
968.263354,-0.000011,C-H
970.192166,0.000035,C-H
972.120977,-0.00005,C-H
974.049789,-0.000056,C-H
975.9786,-0.000049,C-H
977.907411,-0.000054,C-H
979.836223,-0.000073,C-H
981.765034,-0.000079,C-H
983.693846,-0.000091,C-H
985.622657,-0.000107,C-H
987.551469,-0.000092,C-H
989.48028,-0.000064,C-H
991.409092,-0.00006,"C-O, C-H"
993.337903,-0.000053,"C-O, C-H"
995.266715,-0.000056,"C-O, C-H"
997.195526,0.0000045,"C-O, C-H"
999.124338,0.000029,"C-O, C-H"
1001.053149,0.000107,"C-O, C-H"
1002.98196,0.000273,"C-O, C-H"
1004.910772,0.000685,"C-O, C-H"
1006.839583,0.001301,"C-O, C-H"
1008.768395,0.002075,"C-O, C-H"
1010.697206,0.003065,"C-O, C-H"
1012.626018,0.004036,"C-O, C-H"
1014.554829,0.004282,"C-O, C-H"
1016.483641,0.003504,"C-O, C-H"
1018.412452,0.002273,"C-O, C-H"
1020.341264,0.001225,"C-O, C-H"
1022.270075,0.000572,"C-O, C-H"
1024.198887,0.000236,"C-O, C-H"
1026.127698,0.000106,"C-O, C-H"
1028.056509,0.00008,"C-O, C-H"
1029.985321,0.000059,"C-O, C-H"
1031.914132,0.000052,"C-O, C-H"
1033.842944,0.000037,"C-O, C-H"
1035.771755,0.000013,"C-O, C-H"
1037.700567,0.000048,"C-O, C-H"
1039.629378,0.000072,"C-O, C-H"
1041.55819,0.000047,"C-O, C-H"
1043.487001,0.000035,"C-O, C-H"
1045.415813,0.000053,"C-O, C-H"
1047.344624,0.000044,"C-O, C-H"
1049.273436,-0.000006,"C-O, C-H"
1051.202247,-0.000042,"C-O, C-H"
1053.131058,-0.000047,"C-O, C-H"
1055.05987,-0.000047,"C-O, C-H"
1056.988681,-0.000038,"C-O, C-H"
1058.917493,-0.000007,"C-O, C-H"
1060.846304,0.000015,"C-O, C-H"
1062.775116,0.000047,"C-O, C-H"
1064.703927,0.000171,"C-O, C-H"
1066.632739,0.000385,"C-O, C-H"
1068.56155,0.000709,"C-O, C-H"
1070.490362,0.001201,"C-O, S=O"
1072.419173,0.001705,"C-O, S=O"
1074.347985,0.001985,"C-O, S=O"
1076.276796,0.002136,"C-O, S=O"
1078.205607,0.002371,"C-O, S=O"
1080.134419,0.002577,"C-O, S=O"
1082.06323,0.002492,"C-O, S=O"
1083.992042,0.002025,"C-O, S=O"
1085.920853,0.00146,"C-O, S=O"
1087.849665,0.001166,"C-O, S=O"
1089.778476,0.001105,"C-O, S=O"
1091.707288,0.001218,"C-O, S=O"
1093.636099,0.001629,"C-O, S=O"
1095.564911,0.002372,"C-O, S=O"
1097.493722,0.003496,"C-O, S=O"
1099.422534,0.005009,"C-O, S=O"
1101.351345,0.006831,"C-O, S=O"
1103.280156,0.008704,"C-O, S=O"
1105.208968,0.009983,"C-O, S=O"
1107.137779,0.01007,"C-O, S=O"
1109.066591,0.008921,"C-O, S=O"
1110.995402,0.007,"C-O, S=O"
1112.924214,0.004944,"C-O, S=O"
1114.853025,0.003208,"C-O, S=O"
1116.781837,0.001999,"C-O, S=O"
1118.710648,0.001282,"C-O, S=O"
1120.63946,0.000878,"C-O, O=S=O"
1122.568271,0.000684,"C-O, O=S=O"
1124.497083,0.000585,"C-O, O=S=O"
1126.425894,0.000508,"C-O, O=S=O"
1128.354706,0.0005,"C-O, O=S=O"
1130.283517,0.000536,"C-O, O=S=O"
1132.212328,0.000603,"C-O, O=S=O"
1134.14114,0.000758,"C-O, O=S=O"
1136.069951,0.00103,"C-O, O=S=O"
1137.998763,0.001481,"C-O, O=S=O"
1139.927574,0.002242,"C-O, O=S=O"
1141.856386,0.003509,"C-O, O=S=O"
1143.785197,0.005482,"C-O, O=S=O"
