wavelength,absorbance,bonds
599.860365,0.002604,C-F
601.789176,0.002145,C-F
603.717988,0.002462,C-F
605.646799,0.003377,C-F
607.575611,0.004359,C-F
609.504422,0.005028,C-F
611.433234,0.00522,C-F
613.362045,0.005945,C-F
615.290857,0.007078,C-F
617.219668,0.00746,C-F
619.148479,0.007745,C-F
621.077291,0.00845,C-F
623.006102,0.008654,C-F
624.934914,0.008807,C-F
626.863725,0.009099,C-F
628.792537,0.008123,C-F
630.721348,0.006918,C-F
632.65016,0.006804,C-F
634.578971,0.007006,C-F
636.507783,0.007353,C-F
638.436594,0.007611,C-F
640.365406,0.007488,C-F
642.294217,0.006784,C-F
644.223028,0.005319,C-F
646.15184,0.003789,C-F
648.080651,0.002561,C-F
650.009463,0.002287,C-F
651.938274,0.002955,C-F
653.867086,0.003323,C-F
655.795897,0.003358,C-F
657.724709,0.003075,C-F
659.65352,0.002878,C-F
661.582332,0.003398,C-F
663.511143,0.003542,C-F
665.439955,0.003196,C-F
667.368766,0.002928,C-F
669.297577,0.00223,C-F
671.226389,0.00172,C-F
673.1552,0.001825,C-F
675.084012,0.001618,C-F
677.012823,0.001121,C-F
678.941635,0.000741,C-F
680.870446,0.000433,C-F
682.799258,0.000288,C-F
684.728069,0.000221,C-F
686.656881,0.000215,C-F
688.585692,0.000227,C-F
690.514504,0.000205,C-F
692.443315,0.000095,C-F
694.372126,-0.000075,C-F
696.300938,0.00007,C-F
698.229749,0.00038,C-F
700.158561,0.000456,C-F
702.087372,0.000516,C-F
704.016184,0.000602,C-F
705.944995,0.000641,C-F
707.873807,0.000748,C-F
709.802618,0.000786,C-F
711.73143,0.000731,C-F
713.660241,0.000799,C-F
715.589053,0.00104,C-F
717.517864,0.001275,C-F
719.446675,0.001356,C-F
721.375487,0.001368,C-F
723.304298,0.001349,C-F
725.23311,0.001183,C-F
727.161921,0.000935,C-F
729.090733,0.000804,C-F
731.019544,0.0007,C-F
732.948356,0.000606,C-F
734.877167,0.000741,C-F
736.805979,0.001055,C-F
738.73479,0.001539,C-F
740.663602,0.001949,C-F
742.592413,0.001908,C-F
744.521224,0.001789,C-F
746.450036,0.001601,C-F
748.378847,0.001167,C-F
750.307659,0.000768,C-F
752.23647,0.000404,C-F
754.165282,0.000395,C-F
756.094093,0.000664,C-F
758.022905,0.000592,C-F
759.951716,0.000452,C-F
761.880528,0.000585,C-F
763.809339,0.000682,C-F
765.738151,0.000636,C-F
767.666962,0.000774,C-F
769.595773,0.001002,C-F
771.524585,0.001068,C-F
773.453396,0.001096,C-F
775.382208,0.001004,C-F
777.311019,0.00079,C-F
779.239831,0.000733,C-F
781.168642,0.000811,C-F
783.097454,0.000804,C-F
785.026265,0.000713,C-F
786.955077,0.000719,C-F
788.883888,0.000691,C-F
790.8127,0.00047,C-F
792.741511,0.000266,C-F
794.670323,0.000217,C-F
796.599134,0.000131,C-F
798.527945,-0.000118,C-F
800.456757,-0.00018,C-F
802.385568,-0.000009,C-F
804.31438,0.000017,C-F
806.243191,0.000064,C-F
808.172003,0.000212,C-F
810.100814,0.00022,
812.029626,0.00018,
813.958437,0.000108,
815.887249,0.000057,
817.81606,0.000257,
819.744872,0.000509,
821.673683,0.000592,
823.602494,0.000632,
825.531306,0.000692,
827.460117,0.00073,
829.388929,0.000779,
831.31774,0.00093,
833.246552,0.000986,
835.175363,0.00075,
837.104175,0.00049,
839.032986,0.000421,
840.961798,0.000467,
842.890609,0.000503,
844.819421,0.000545,
846.748232,0.000601,
848.677043,0.000666,
850.605855,0.000746,
852.534666,0.00067,
854.463478,0.000571,
856.392289,0.000596,
858.321101,0.000496,
860.249912,0.000366,
862.178724,0.000408,
864.107535,0.000431,
866.036347,0.000353,
867.965158,0.000318,
869.89397,0.000376,
871.822781,0.000431,
873.751592,0.000397,
875.680404,0.000375,
877.609215,0.000411,
879.538027,0.000406,
881.466838,0.000411,
883.39565,0.000431,
885.324461,0.000402,
887.253273,0.000392,
889.182084,0.000361,
891.110896,0.000301,
893.039707,0.000341,
894.968519,0.000424,
896.89733,0.000434,
898.826141,0.000403,
900.754953,0.000411,
902.683764,0.000436,
904.612576,0.000443,
906.541387,0.000505,
908.470199,0.000575,
910.39901,0.000579,
912.327822,0.000577,
914.256633,0.000545,
916.185445,0.000527,
918.114256,0.000536,
920.043068,0.000542,
921.971879,0.00053,
923.90069,0.000499,
925.829502,0.000498,
927.758313,0.0005,
929.687125,0.000435,
931.615936,0.000378,
933.544748,0.000383,
935.473559,0.000374,
937.402371,0.000329,
939.331182,0.000332,
941.259994,0.000366,
943.188805,0.000335,
945.117617,0.000293,
947.046428,0.000279,
948.97524,0.000239,
950.904051,0.0002,
952.832862,0.000174,
954.761674,0.000133,
956.690485,0.000086,
958.619297,0.000042,
960.548108,0.00003,
962.47692,0.000036,
964.405731,0.000008,
