wavelength,absorbance,bonds
599.860365,0.00559,
601.789176,0.005557,C-H
603.717988,0.005222,C-H
605.646799,0.005952,C-H
607.575611,0.006824,C-H
609.504422,0.006313,C-H
611.433234,0.005578,C-H
613.362045,0.005603,C-H
615.290857,0.005975,C-H
617.219668,0.005677,C-H
619.148479,0.004442,C-H
621.077291,0.00376,C-H
623.006102,0.003527,C-H
624.934914,0.002911,C-H
626.863725,0.002471,C-H
628.792537,0.001564,C-H
630.721348,0.000807,C-H
632.65016,0.001859,C-H
634.578971,0.002705,C-H
636.507783,0.001635,C-H
638.436594,0.000335,C-H
640.365406,-0.000292,C-H
642.294217,-0.000308,C-H
644.223028,-0.00003,C-H
646.15184,-0.000021,C-H
648.080651,0.000023,C-H
650.009463,0.000083,C-H
651.938274,-0.000075,"C-H, N-H"
653.867086,0.000514,"C-H, N-H"
655.795897,0.001834,"C-H, N-H"
657.724709,0.002714,"C-H, N-H"
659.65352,0.002957,"C-H, N-H"
661.582332,0.003161,"C-H, N-H"
663.511143,0.003707,"C-H, N-H"
665.439955,0.004497,"C-H, N-H"
667.368766,0.004751,"C-H, N-H"
669.297577,0.004404,"C-H, N-H"
671.226389,0.004498,"C-H, N-H"
673.1552,0.004752,"C-H, N-H"
675.084012,0.004617,"C-H, N-H"
677.012823,0.004641,"C-H, N-H"
678.941635,0.00488,"C-H, N-H"
680.870446,0.005129,"C-H, N-H"
682.799258,0.005189,"C-H, N-H"
684.728069,0.004946,"C-H, N-H"
686.656881,0.004706,"C-H, N-H"
688.585692,0.004394,"C-H, N-H"
690.514504,0.004044,"C-H, N-H"
692.443315,0.003998,"C-H, N-H"
694.372126,0.003879,"C-H, N-H"
696.300938,0.003491,"C-H, N-H"
698.229749,0.003183,"C-H, N-H"
700.158561,0.002972,"C-H, N-H"
702.087372,0.003032,"C-H, N-H"
704.016184,0.003287,"C-H, N-H"
705.944995,0.003209,"C-H, N-H"
707.873807,0.002971,"C-H, N-H"
709.802618,0.002692,"C-H, N-H"
711.73143,0.002292,"C-H, N-H"
713.660241,0.002122,"C-H, N-H"
715.589053,0.002008,"C-H, N-H"
717.517864,0.001754,"C-H, N-H"
719.446675,0.001635,"C-H, N-H"
721.375487,0.001675,"C-H, N-H"
723.304298,0.00182,"C-H, N-H"
725.23311,0.001967,"C-H, N-H"
727.161921,0.002044,"C-H, N-H"
729.090733,0.002043,"C-H, N-H"
731.019544,0.001957,"C-H, N-H"
732.948356,0.001773,"C-H, N-H"
734.877167,0.001248,"C-H, N-H"
736.805979,0.000651,"C-H, N-H"
738.73479,0.000145,"C-H, N-H"
740.663602,-0.00035,"C-H, N-H"
742.592413,-0.000093,"C-H, N-H"
744.521224,0.000275,"C-H, N-H"
746.450036,0.000353,"C-H, N-H"
748.378847,0.000907,"C-H, N-H"
750.307659,0.001107,"C-H, N-H"
752.23647,0.000786,"C-H, N-H"
754.165282,0.00099,"C-H, N-H"
756.094093,0.001315,"C-H, N-H"
758.022905,0.001564,"C-H, N-H"
759.951716,0.002368,"C-H, N-H"
761.880528,0.003689,"C-H, N-H"
763.809339,0.005233,"C-H, N-H"
765.738151,0.007169,"C-H, N-H"
767.666962,0.009347,"C-H, N-H"
769.595773,0.011065,"C-H, N-H"
771.524585,0.011869,"C-H, N-H"
773.453396,0.011557,"C-H, N-H"
775.382208,0.010353,"C-H, N-H"
777.311019,0.009136,"C-H, N-H"
779.239831,0.008769,"C-H, N-H"
781.168642,0.00949,"C-H, N-H"
783.097454,0.011092,"C-H, N-H"
785.026265,0.013629,"C-H, N-H"
786.955077,0.017155,"C-H, N-H"
788.883888,0.021041,"C-H, N-H"
790.8127,0.024052,"C-H, N-H"
792.741511,0.024577,"C-H, N-H"
794.670323,0.021796,"C-H, N-H"
796.599134,0.016826,"C-H, N-H"
798.527945,0.011739,"C-H, N-H"
800.456757,0.008084,"C-H, N-H"
802.385568,0.006114,"C-H, N-H"
804.31438,0.005234,"C-H, N-H"
806.243191,0.005056,"C-H, N-H"
808.172003,0.005398,"C-H, N-H"
810.100814,0.005988,"C-H, N-H"
812.029626,0.006794,"C-H, N-H"
813.958437,0.007869,"C-H, N-H"
815.887249,0.008614,"C-H, N-H"
817.81606,0.008455,"C-H, N-H"
819.744872,0.007531,"C-H, N-H"
821.673683,0.006008,"C-H, N-H"
823.602494,0.004259,"C-H, N-H"
825.531306,0.002786,"C-H, N-H"
827.460117,0.001618,"C-H, N-H"
829.388929,0.000761,"C-H, N-H"
831.31774,0.000299,C-H
833.246552,0.000097,C-H
835.175363,0.0001,C-H
837.104175,0.000226,C-H
839.032986,0.000453,C-H
840.961798,0.000953,C-H
842.890609,0.00153,C-H
844.819421,0.001873,C-H
846.748232,0.00234,C-H
848.677043,0.002884,C-H
850.605855,0.002988,C-H
852.534666,0.002806,C-H
854.463478,0.002638,C-H
856.392289,0.002514,C-H
858.321101,0.002526,C-H
860.249912,0.002624,C-H
862.178724,0.002612,C-H
864.107535,0.002411,C-H
866.036347,0.002029,C-H
867.965158,0.001548,C-H
869.89397,0.001038,C-H
871.822781,0.000532,C-H
873.751592,0.000159,C-H
875.680404,-0.00006,C-H
877.609215,-0.000214,C-H
879.538027,-0.00031,C-H
881.466838,-0.000303,C-H
883.39565,-0.000296,C-H
885.324461,-0.000328,C-H
887.253273,-0.000269,C-H
889.182084,-0.00008,C-H
891.110896,0.000087,C-H
893.039707,0.000241,C-H
894.968519,0.000445,C-H
896.89733,0.000662,C-H
898.826141,0.000894,C-H
900.754953,0.0011,C-H
902.683764,0.001207,C-H
904.612576,0.00119,C-H
906.541387,0.001112,C-H
908.470199,0.001098,C-H
910.39901,0.001159,C-H
912.327822,0.001222,C-H
914.256633,0.001191,C-H
916.185445,0.001008,C-H
918.114256,0.000736,C-H
920.043068,0.000439,C-H
921.971879,0.000204,C-H
923.90069,0.00014,C-H
925.829502,0.000259,C-H
927.758313,0.000524,C-H
929.687125,0.000887,C-H
931.615936,0.001341,C-H
933.544748,0.001893,C-H
935.473559,0.002486,C-H
937.402371,0.00311,C-H
939.331182,0.003778,C-H
941.259994,0.004425,C-H
943.188805,0.005017,C-H
945.117617,0.005585,C-H
947.046428,0.006185,C-H
948.97524,0.006846,C-H
950.904051,0.007484,C-H
952.832862,0.008002,C-H
954.761674,0.008394,C-H
956.690485,0.008671,C-H
958.619297,0.00881,C-H
960.548108,0.008847,C-H
962.47692,0.008839,C-H
964.405731,0.008719,C-H
966.334543,0.008475,C-H
968.263354,0.0082,C-H
970.192166,0.007864,C-H
972.120977,0.007393,C-H
974.049789,0.006816,C-H
975.9786,0.006228,C-H
977.907411,0.005691,C-H
979.836223,0.005148,C-H
981.765034,0.004552,C-H
983.693846,0.003874,C-H
985.622657,0.003105,C-H
987.551469,0.002373,C-H
989.48028,0.001779,C-H
991.409092,0.001271,C-O
993.337903,0.00082,C-O
995.266715,0.000512,C-O
997.195526,0.000356,C-O
999.124338,0.000268,C-O
1001.053149,0.000438,C-O
1002.98196,0.000802,C-O
1004.910772,0.001332,C-O
1006.839583,0.002066,C-O
1008.768395,0.003029,C-O
1010.697206,0.004168,C-O
1012.626018,0.005546,C-O
1014.554829,0.007383,C-O
1016.483641,0.009412,C-O
1018.412452,0.010415,C-O
1020.341264,0.009611,C-O
1022.270075,0.007875,C-O
1024.198887,0.006491,C-O
1026.127698,0.005913,C-O
1028.056509,0.005996,C-O
1029.985321,0.006419,C-O
1031.914132,0.006891,C-O
1033.842944,0.007283,C-O
1035.771755,0.007552,C-O
1037.700567,0.007689,C-O
1039.629378,0.007789,C-O
1041.55819,0.007972,C-O
1043.487001,0.008348,C-O
1045.415813,0.008966,C-O
1047.344624,0.009742,C-O
1049.273436,0.010626,C-O
1051.202247,0.011645,C-O
1053.131058,0.012828,C-O
1055.05987,0.014222,C-O
1056.988681,0.015814,C-O
1058.917493,0.017539,C-O
1060.846304,0.019221,C-O
1062.775116,0.020619,C-O
1064.703927,0.021677,C-O
1066.632739,0.022505,C-O
1068.56155,0.023175,C-O
1070.490362,0.023703,C-O
1072.419173,0.024237,C-O
1074.347985,0.024867,C-O
1076.276796,0.025375,C-O
1078.205607,0.025461,C-O
1080.134419,0.024761,C-O
1082.06323,0.022776,C-O
1083.992042,0.019262,C-O
1085.920853,0.014823,C-O
1087.849665,0.010822,C-O
1089.778476,0.008144,C-O
1091.707288,0.00661,C-O
1093.636099,0.00576,C-O
1095.564911,0.005382,C-O
1097.493722,0.00537,C-O
1099.422534,0.005608,C-O
1101.351345,0.006063,C-O
1103.280156,0.006691,C-O
1105.208968,0.007254,C-O
1107.137779,0.00756,C-O
1109.066591,0.00766,C-O
1110.995402,0.007614,C-O
1112.924214,0.007317,C-O
1114.853025,0.006688,C-O
1116.781837,0.005934,C-O
1118.710648,0.005331,C-O
1120.63946,0.004931,C-O
1122.568271,0.004634,C-O
1124.497083,0.004276,C-O
1126.425894,0.003817,C-O
1128.354706,0.003375,C-O
