wavelength,absorbance,bonds
599.860365,0.001443,"C-H, C-F"
601.789176,0.000592,"C-H, C-F"
603.717988,0.000029,"C-H, C-F"
605.646799,-0.000131,"C-H, C-F"
607.575611,0.000126,"C-H, C-F"
609.504422,0.000356,"C-H, C-F"
611.433234,0.000552,"C-H, C-F"
613.362045,0.000713,"C-H, C-F"
615.290857,0.000552,"C-H, C-F"
617.219668,0.000597,"C-H, C-F"
619.148479,0.000728,"C-H, C-F"
621.077291,0.000692,"C-H, C-F"
623.006102,0.000754,"C-H, C-F"
624.934914,0.001023,"C-H, C-F"
626.863725,0.001968,"C-H, C-F"
628.792537,0.002907,"C-H, C-F"
630.721348,0.002876,"C-H, C-F"
632.65016,0.002341,"C-H, C-F"
634.578971,0.00229,"C-H, C-F"
636.507783,0.002576,"C-H, C-F"
638.436594,0.002478,"C-H, C-F"
640.365406,0.003142,"C-H, C-F"
642.294217,0.003845,"C-H, C-F"
644.223028,0.002804,"C-H, C-F"
646.15184,0.002372,"C-H, C-F"
648.080651,0.003314,"C-H, C-F"
650.009463,0.003234,"C-H, C-F"
651.938274,0.003055,"C-H, C-F"
653.867086,0.003742,"C-H, C-F"
655.795897,0.003658,"C-H, C-F"
657.724709,0.002874,"C-H, C-F"
659.65352,0.002129,"C-H, C-F"
661.582332,0.001814,"C-H, C-F"
663.511143,0.002067,"C-H, C-F"
665.439955,0.001962,"C-H, C-F"
667.368766,0.001657,"C-H, C-F"
669.297577,0.001593,"C-H, C-F"
671.226389,0.001535,"C-H, C-F"
673.1552,0.001443,"C-H, C-F"
675.084012,0.001213,"C-H, C-F"
677.012823,0.001279,"C-H, C-F"
678.941635,0.001602,"C-H, C-F"
680.870446,0.001375,"C-H, C-F"
682.799258,0.000737,"C-H, C-F"
684.728069,0.00035,"C-H, C-F"
686.656881,0.000317,"C-H, C-F"
688.585692,0.000379,"C-H, C-F"
690.514504,0.000437,"C-H, C-F"
692.443315,0.000457,"C-H, C-F"
694.372126,0.000428,"C-H, C-F"
696.300938,0.000387,"C-H, C-F"
698.229749,0.000289,"C-H, C-F"
700.158561,0.00021,C-H
702.087372,0.000148,C-H
704.016184,-0.000005,C-H
705.944995,0.000039,C-H
707.873807,0.000171,C-H
709.802618,0.000332,C-H
711.73143,0.000751,C-H
713.660241,0.001051,C-H
715.589053,0.001014,C-H
717.517864,0.001121,C-H
719.446675,0.001355,C-H
721.375487,0.001419,C-H
723.304298,0.001422,C-H
725.23311,0.001356,C-H
727.161921,0.001133,C-H
729.090733,0.001025,C-H
731.019544,0.001048,C-H
732.948356,0.001026,C-H
734.877167,0.001062,C-H
736.805979,0.000915,C-H
738.73479,0.000761,C-H
740.663602,0.00089,C-H
742.592413,0.000541,C-H
744.521224,0.000018,C-H
746.450036,0.000184,C-H
748.378847,0.000665,C-H
750.307659,0.000949,C-H
752.23647,0.000946,C-H
754.165282,0.000903,C-H
756.094093,0.001004,C-H
758.022905,0.001255,C-H
759.951716,0.001527,C-H
761.880528,0.00154,C-H
763.809339,0.001482,C-H
765.738151,0.001501,C-H
767.666962,0.001282,C-H
769.595773,0.000845,C-H
771.524585,0.000567,C-H
773.453396,0.00047,C-H
775.382208,0.000342,C-H
777.311019,0.000195,C-H
779.239831,0.000112,C-H
781.168642,0.000142,C-H
783.097454,0.000247,C-H
785.026265,0.000467,C-H
786.955077,0.000729,C-H
788.883888,0.000955,C-H
790.8127,0.00134,C-H
792.741511,0.001907,C-H
794.670323,0.002624,C-H
796.599134,0.00378,C-H
798.527945,0.005316,C-H
800.456757,0.007002,C-H
802.385568,0.00892,C-H
804.31438,0.010856,C-H
806.243191,0.012446,C-H
808.172003,0.013725,C-H
810.100814,0.014799,C-H
812.029626,0.015768,C-H
813.958437,0.016596,C-H
815.887249,0.017192,C-H
817.81606,0.017706,C-H
819.744872,0.018105,C-H
821.673683,0.01832,C-H
823.602494,0.018557,C-H
825.531306,0.01899,C-H
827.460117,0.019588,C-H
829.388929,0.020089,C-H
831.31774,0.020211,C-H
833.246552,0.019664,C-H
835.175363,0.018319,C-H
837.104175,0.016383,C-H
839.032986,0.014008,C-H
840.961798,0.011603,C-H
842.890609,0.009562,C-H
844.819421,0.007925,C-H
846.748232,0.006792,C-H
848.677043,0.005962,C-H
850.605855,0.005278,C-H
852.534666,0.004895,C-H
854.463478,0.004699,C-H
856.392289,0.00442,C-H
858.321101,0.004105,C-H
860.249912,0.003933,C-H
862.178724,0.003883,C-H
864.107535,0.003949,C-H
866.036347,0.00411,C-H
867.965158,0.00426,C-H
869.89397,0.004458,C-H
871.822781,0.004764,C-H
873.751592,0.005129,C-H
875.680404,0.005542,C-H
877.609215,0.005978,C-H
879.538027,0.006381,C-H
881.466838,0.006732,C-H
883.39565,0.007046,C-H
885.324461,0.007237,C-H
887.253273,0.007277,C-H
889.182084,0.007307,C-H
891.110896,0.007336,C-H
893.039707,0.007309,C-H
894.968519,0.00721,C-H
896.89733,0.007051,C-H
898.826141,0.006898,C-H
900.754953,0.006744,C-H
902.683764,0.00658,C-H
904.612576,0.00644,C-H
906.541387,0.00633,C-H
908.470199,0.006247,C-H
910.39901,0.006145,C-H
912.327822,0.006007,C-H
914.256633,0.005861,C-H
916.185445,0.005741,C-H
918.114256,0.005633,C-H
920.043068,0.005512,C-H
921.971879,0.005437,C-H
923.90069,0.005373,C-H
925.829502,0.005281,C-H
927.758313,0.005192,C-H
929.687125,0.005102,C-H
931.615936,0.005083,C-H
933.544748,0.005095,C-H
935.473559,0.00506,C-H
937.402371,0.005032,C-H
939.331182,0.00502,C-H
941.259994,0.005078,C-H
943.188805,0.005169,C-H
945.117617,0.005226,C-H
947.046428,0.005332,C-H
948.97524,0.005462,C-H
950.904051,0.005564,C-H
952.832862,0.005628,C-H
954.761674,0.005688,C-H
956.690485,0.005804,C-H
958.619297,0.005897,C-H
960.548108,0.005949,C-H
962.47692,0.006009,C-H
964.405731,0.006057,C-F
966.334543,0.006106,C-F
968.263354,0.006168,C-F
970.192166,0.006239,C-F
972.120977,0.006296,C-F
974.049789,0.006339,C-F
975.9786,0.006378,C-F
977.907411,0.006417,C-F
979.836223,0.006507,C-F
981.765034,0.006606,C-F
983.693846,0.006716,C-F
985.622657,0.006921,C-F
987.551469,0.007147,C-F
989.48028,0.007361,C-F
991.409092,0.007698,C-F
993.337903,0.008163,C-F
995.266715,0.00863,C-F
997.195526,0.00909,C-F
999.124338,0.009584,C-F
1001.053149,0.0101,C-F
1002.98196,0.010617,C-F
1004.910772,0.011139,C-F
1006.839583,0.011735,C-F
1008.768395,0.012435,C-F
1010.697206,0.013198,C-F
1012.626018,0.014021,C-F
1014.554829,0.014879,C-F
1016.483641,0.015726,C-F
1018.412452,0.016519,C-F
1020.341264,0.017194,C-F
1022.270075,0.017727,C-F
1024.198887,0.018105,C-F
1026.127698,0.018344,C-F
1028.056509,0.01851,C-F
1029.985321,0.018599,C-F
1031.914132,0.018591,C-F
1033.842944,0.018509,C-F
1035.771755,0.018345,C-F
1037.700567,0.018093,C-F
1039.629378,0.017745,C-F
1041.55819,0.017265,C-F
1043.487001,0.016727,C-F
1045.415813,0.016198,C-F
1047.344624,0.015651,C-F
1049.273436,0.01513,C-F
1051.202247,0.014682,C-F
1053.131058,0.014296,C-F
1055.05987,0.013966,C-F
1056.988681,0.013678,C-F
1058.917493,0.013427,C-F
1060.846304,0.013251,C-F
1062.775116,0.013155,C-F
1064.703927,0.013075,C-F
1066.632739,0.013011,C-F
1068.56155,0.012972,C-F
1070.490362,0.012948,C-F
1072.419173,0.013039,C-F
1074.347985,0.013264,C-F
1076.276796,0.013552,C-F
1078.205607,0.013958,C-F
1080.134419,0.014561,C-F
1082.06323,0.015336,C-F
1083.992042,0.016188,C-F
1085.920853,0.017092,C-F
1087.849665,0.018,C-F
1089.778476,0.018736,C-F
1091.707288,0.019127,C-F
1093.636099,0.019063,C-F
1095.564911,0.018542,C-F
1097.493722,0.017673,C-F
1099.422534,0.016572,C-F
1101.351345,0.015353,C-F
1103.280156,0.014155,C-F
1105.208968,0.013031,C-F
1107.137779,0.012002,C-F
1109.066591,0.011169,C-F
